#    L    TT             EE             BB             TE          
     2   0.113045E+04   0.548822E-01   0.140055E-05   0.339913E+01
     3   0.105214E+04   0.883158E-01   0.280162E-05   0.425019E+01
     4   0.979515E+03   0.977601E-01   0.467053E-05   0.435801E+01
     5   0.923579E+03   0.853455E-01   0.700796E-05   0.402700E+01
     6   0.882913E+03   0.620399E-01   0.981476E-05   0.349185E+01
     7   0.854593E+03   0.388947E-01   0.130919E-04   0.290115E+01
     8   0.835395E+03   0.222310E-01   0.168406E-04   0.234534E+01
     9   0.823185E+03   0.131232E-01   0.210621E-04   0.187045E+01
    10   0.816395E+03   0.944501E-02   0.257577E-04   0.150124E+01
    11   0.813453E+03   0.832351E-02   0.309291E-04   0.124572E+01
    12   0.814466E+03   0.777646E-02   0.365778E-04   0.110127E+01
    13   0.817653E+03   0.695362E-02   0.427054E-04   0.104365E+01
    14   0.822075E+03   0.605460E-02   0.493139E-04   0.104399E+01
    15   0.827995E+03   0.537039E-02   0.564049E-04   0.108318E+01
    16   0.835782E+03   0.510712E-02   0.639804E-04   0.114551E+01
    17   0.845347E+03   0.526057E-02   0.720422E-04   0.121598E+01
    18   0.855738E+03   0.558899E-02   0.805923E-04   0.128300E+01
    19   0.867780E+03   0.595941E-02   0.896324E-04   0.134107E+01
    20   0.879794E+03   0.634962E-02   0.991644E-04   0.138535E+01
    21   0.892122E+03   0.680446E-02   0.109190E-03   0.142184E+01
    22   0.905035E+03   0.745597E-02   0.119712E-03   0.145689E+01
    23   0.918342E+03   0.835874E-02   0.130730E-03   0.149209E+01
    24   0.932100E+03   0.950857E-02   0.142248E-03   0.152820E+01
    25   0.946248E+03   0.109147E-01   0.154265E-03   0.156703E+01
    26   0.960595E+03   0.125457E-01   0.166785E-03   0.161113E+01
    27   0.975376E+03   0.143576E-01   0.179807E-03   0.165759E+01
    28   0.990441E+03   0.163374E-01   0.193334E-03   0.170360E+01
    29   0.100584E+04   0.184944E-01   0.207366E-03   0.174723E+01
    30   0.102150E+04   0.208454E-01   0.221904E-03   0.178534E+01
    31   0.103728E+04   0.233754E-01   0.236948E-03   0.181561E+01
    32   0.105342E+04   0.260586E-01   0.252501E-03   0.183575E+01
    33   0.106994E+04   0.289055E-01   0.268561E-03   0.184306E+01
    34   0.108666E+04   0.319458E-01   0.285129E-03   0.183676E+01
    35   0.110354E+04   0.352013E-01   0.302205E-03   0.182111E+01
    36   0.112051E+04   0.386926E-01   0.319790E-03   0.179903E+01
    37   0.113759E+04   0.424125E-01   0.337882E-03   0.176663E+01
    38   0.115510E+04   0.463574E-01   0.356483E-03   0.172165E+01
    39   0.117302E+04   0.505387E-01   0.375590E-03   0.166618E+01
    40   0.119105E+04   0.549772E-01   0.395204E-03   0.160319E+01
    41   0.120929E+04   0.596938E-01   0.415324E-03   0.153448E+01
    42   0.122751E+04   0.646897E-01   0.435949E-03   0.145817E+01
    43   0.124588E+04   0.699609E-01   0.457078E-03   0.137142E+01
    44   0.126423E+04   0.754887E-01   0.478710E-03   0.127231E+01
    45   0.128296E+04   0.812647E-01   0.500845E-03   0.115898E+01
    46   0.130199E+04   0.872853E-01   0.523480E-03   0.102832E+01
    47   0.132117E+04   0.935532E-01   0.546614E-03   0.882116E+00
    48   0.134043E+04   0.100080E+00   0.570247E-03   0.726025E+00
    49   0.135986E+04   0.106853E+00   0.594378E-03   0.565107E+00
    50   0.137969E+04   0.113856E+00   0.619004E-03   0.397643E+00
    51   0.139968E+04   0.121063E+00   0.644125E-03   0.220086E+00
    52   0.142007E+04   0.128558E+00   0.669739E-03   0.272191E-01
    53   0.144045E+04   0.136483E+00   0.695846E-03  -0.184741E+00
    54   0.146076E+04   0.144826E+00   0.722443E-03  -0.411611E+00
    55   0.148121E+04   0.153560E+00   0.749531E-03  -0.649092E+00
    56   0.150201E+04   0.162538E+00   0.777109E-03  -0.898973E+00
    57   0.152309E+04   0.171653E+00   0.805175E-03  -0.116109E+01
    58   0.154447E+04   0.180917E+00   0.833728E-03  -0.143601E+01
    59   0.156602E+04   0.190373E+00   0.862769E-03  -0.172435E+01
    60   0.158774E+04   0.200076E+00   0.892297E-03  -0.202526E+01
    61   0.160995E+04   0.210122E+00   0.922311E-03  -0.233780E+01
    62   0.163204E+04   0.220496E+00   0.952811E-03  -0.266294E+01
    63   0.165424E+04   0.231157E+00   0.983798E-03  -0.300175E+01
    64   0.167683E+04   0.242113E+00   0.101527E-02  -0.335554E+01
    65   0.169943E+04   0.253338E+00   0.104723E-02  -0.372501E+01
    66   0.172234E+04   0.264761E+00   0.107968E-02  -0.410835E+01
    67   0.174539E+04   0.276385E+00   0.111262E-02  -0.450271E+01
    68   0.176887E+04   0.288250E+00   0.114604E-02  -0.490631E+01
    69   0.179254E+04   0.300318E+00   0.117996E-02  -0.531728E+01
    70   0.181653E+04   0.312629E+00   0.121436E-02  -0.573717E+01
    71   0.184068E+04   0.325172E+00   0.124927E-02  -0.616829E+01
    72   0.186503E+04   0.337922E+00   0.128466E-02  -0.661206E+01
    73   0.188954E+04   0.350844E+00   0.132055E-02  -0.706918E+01
    74   0.191424E+04   0.363927E+00   0.135694E-02  -0.753886E+01
    75   0.193925E+04   0.377181E+00   0.139383E-02  -0.801970E+01
    76   0.196453E+04   0.390607E+00   0.143123E-02  -0.851116E+01
    77   0.199011E+04   0.404198E+00   0.146913E-02  -0.901304E+01
    78   0.201604E+04   0.417977E+00   0.150753E-02  -0.952674E+01
    79   0.204214E+04   0.431892E+00   0.154645E-02  -0.100484E+02
    80   0.206851E+04   0.445945E+00   0.158588E-02  -0.105795E+02
    81   0.209505E+04   0.460085E+00   0.162582E-02  -0.111204E+02
    82   0.212184E+04   0.474336E+00   0.166629E-02  -0.116702E+02
    83   0.214881E+04   0.488671E+00   0.170727E-02  -0.122284E+02
    84   0.217607E+04   0.503087E+00   0.174878E-02  -0.127930E+02
    85   0.220346E+04   0.517560E+00   0.179082E-02  -0.133651E+02
    86   0.223107E+04   0.532102E+00   0.183339E-02  -0.139436E+02
    87   0.225912E+04   0.546682E+00   0.187649E-02  -0.145278E+02
    88   0.228717E+04   0.561316E+00   0.192012E-02  -0.151177E+02
    89   0.231557E+04   0.575989E+00   0.196430E-02  -0.157150E+02
