#    L    TT             EE             TE             PP             TP          
     2   0.113045E+04   0.548808E-01   0.339913E+01   0.101352E+07   0.320476E+05
     3   0.105213E+04   0.883130E-01   0.425019E+01   0.155999E+07   0.380153E+05
     4   0.979505E+03   0.977554E-01   0.435801E+01   0.204380E+07   0.407592E+05
     5   0.923565E+03   0.853385E-01   0.402700E+01   0.247035E+07   0.417964E+05
     6   0.882893E+03   0.620300E-01   0.349185E+01   0.284617E+07   0.418902E+05
     7   0.854566E+03   0.388816E-01   0.290115E+01   0.317879E+07   0.414673E+05
     8   0.835360E+03   0.222142E-01   0.234534E+01   0.347433E+07   0.407139E+05
     9   0.823142E+03   0.131021E-01   0.187046E+01   0.373813E+07   0.397268E+05
    10   0.816343E+03   0.941926E-02   0.150124E+01   0.397384E+07   0.386061E+05
    11   0.813390E+03   0.829258E-02   0.124573E+01   0.418598E+07   0.374759E+05
    12   0.814392E+03   0.773989E-02   0.110129E+01   0.437624E+07   0.363957E+05
    13   0.817567E+03   0.691092E-02   0.104367E+01   0.454703E+07   0.353708E+05
    14   0.821977E+03   0.600529E-02   0.104403E+01   0.470096E+07   0.343919E+05
    15   0.827883E+03   0.531399E-02   0.108323E+01   0.483967E+07   0.334289E+05
    16   0.835656E+03   0.504316E-02   0.114556E+01   0.496462E+07   0.324589E+05
    17   0.845206E+03   0.518856E-02   0.121604E+01   0.507727E+07   0.315071E+05
    18   0.855581E+03   0.550844E-02   0.128308E+01   0.517896E+07   0.306024E+05
    19   0.867607E+03   0.586983E-02   0.134117E+01   0.527037E+07   0.297385E+05
    20   0.879603E+03   0.625053E-02   0.138547E+01   0.535210E+07   0.289023E+05
    21   0.891914E+03   0.669536E-02   0.142198E+01   0.542524E+07   0.280873E+05
    22   0.904808E+03   0.733638E-02   0.145706E+01   0.549081E+07   0.272913E+05
    23   0.918097E+03   0.822817E-02   0.149229E+01   0.554932E+07   0.265231E+05
    24   0.931835E+03   0.936653E-02   0.152843E+01   0.560118E+07   0.257913E+05
    25   0.945963E+03   0.107607E-01   0.156729E+01   0.564698E+07   0.250951E+05
    26   0.960290E+03   0.123793E-01   0.161144E+01   0.568730E+07   0.244306E+05
    27   0.975049E+03   0.141782E-01   0.165794E+01   0.572259E+07   0.237933E+05
    28   0.990093E+03   0.161445E-01   0.170400E+01   0.575324E+07   0.231799E+05
    29   0.100547E+04   0.182876E-01   0.174768E+01   0.577931E+07   0.225932E+05
    30   0.102111E+04   0.206242E-01   0.178585E+01   0.580091E+07   0.220359E+05
    31   0.103686E+04   0.231394E-01   0.181618E+01   0.581858E+07   0.215036E+05
    32   0.105298E+04   0.258072E-01   0.183638E+01   0.583286E+07   0.209905E+05
    33   0.106948E+04   0.286383E-01   0.184376E+01   0.584397E+07   0.204904E+05
    34   0.108618E+04   0.316623E-01   0.183753E+01   0.585205E+07   0.199989E+05
    35   0.110303E+04   0.349009E-01   0.182196E+01   0.585731E+07   0.195180E+05
    36   0.111998E+04   0.383750E-01   0.179995E+01   0.585997E+07   0.190522E+05
    37   0.113703E+04   0.420772E-01   0.176763E+01   0.586021E+07   0.186088E+05
    38   0.115452E+04   0.460039E-01   0.172274E+01   0.585820E+07   0.181934E+05
    39   0.117241E+04   0.501667E-01   0.166736E+01   0.585407E+07   0.178007E+05
    40   0.119041E+04   0.545861E-01   0.160446E+01   0.584793E+07   0.174226E+05
    41   0.120863E+04   0.592833E-01   0.153585E+01   0.583988E+07   0.170525E+05
    42   0.122683E+04   0.642592E-01   0.145963E+01   0.583006E+07   0.166902E+05
    43   0.124516E+04   0.695101E-01   0.137299E+01   0.581858E+07   0.163373E+05
    44   0.126349E+04   0.750172E-01   0.127397E+01   0.580556E+07   0.159949E+05
    45   0.128219E+04   0.807720E-01   0.116075E+01   0.579114E+07   0.156646E+05
    46   0.130119E+04   0.867711E-01   0.103019E+01   0.577542E+07   0.153470E+05
    47   0.132034E+04   0.930170E-01   0.884094E+00   0.575849E+07   0.150405E+05
    48   0.133958E+04   0.995211E-01   0.728107E+00   0.574044E+07   0.147428E+05
    49   0.135899E+04   0.106272E+00   0.567292E+00   0.572135E+07   0.144516E+05
    50   0.137878E+04   0.113252E+00   0.399930E+00   0.570131E+07   0.141647E+05
    51   0.139875E+04   0.120436E+00   0.222473E+00   0.568039E+07   0.138806E+05
    52   0.141910E+04   0.127907E+00   0.297044E-01   0.565864E+07   0.136012E+05
    53   0.143946E+04   0.135808E+00  -0.182161E+00   0.563613E+07   0.133292E+05
