#    L    TT             EE             BB             TE          
     2   0.113167E+04   0.548822E-01   0.139683E-05   0.339917E+01
     3   0.105337E+04   0.883158E-01   0.279419E-05   0.424963E+01
     4   0.981138E+03   0.977601E-01   0.465814E-05   0.435669E+01
     5   0.925904E+03   0.853455E-01   0.698937E-05   0.402533E+01
     6   0.887087E+03   0.620398E-01   0.978872E-05   0.348714E+01
     7   0.860199E+03   0.388947E-01   0.130572E-04   0.289527E+01
     8   0.841071E+03   0.222310E-01   0.167959E-04   0.234748E+01
     9   0.830913E+03   0.131231E-01   0.210062E-04   0.188542E+01
    10   0.828996E+03   0.944494E-02   0.256894E-04   0.152532E+01
    11   0.830794E+03   0.832343E-02   0.308471E-04   0.127289E+01
    12   0.834404E+03   0.777636E-02   0.364808E-04   0.112803E+01
    13   0.838370E+03   0.695351E-02   0.425922E-04   0.106872E+01
    14   0.842534E+03   0.605447E-02   0.491832E-04   0.106773E+01
    15   0.847737E+03   0.537024E-02   0.562555E-04   0.110633E+01
    16   0.854787E+03   0.510696E-02   0.638109E-04   0.116884E+01
    17   0.863662E+03   0.526039E-02   0.718514E-04   0.124017E+01
    18   0.873391E+03   0.558879E-02   0.803789E-04   0.130858E+01
    19   0.884784E+03   0.595919E-02   0.893951E-04   0.136839E+01
    20   0.896151E+03   0.634938E-02   0.989020E-04   0.141466E+01
    21   0.907832E+03   0.680419E-02   0.108901E-03   0.145337E+01
    22   0.920104E+03   0.745567E-02   0.119395E-03   0.149083E+01
    23   0.932804E+03   0.835841E-02   0.130384E-03   0.152858E+01
    24   0.946015E+03   0.950821E-02   0.141871E-03   0.156727E+01
    25   0.959674E+03   0.109143E-01   0.153857E-03   0.160867E+01
    26   0.973577E+03   0.125453E-01   0.166344E-03   0.165526E+01
    27   0.987925E+03   0.143571E-01   0.179332E-03   0.170409E+01
    28   0.100253E+04   0.163369E-01   0.192823E-03   0.175238E+01
    29   0.101745E+04   0.184939E-01   0.206818E-03   0.179821E+01
    30   0.103258E+04   0.208448E-01   0.221318E-03   0.183850E+01
    31   0.104780E+04   0.233748E-01   0.236323E-03   0.187087E+01
    32   0.106336E+04   0.260580E-01   0.251834E-03   0.189300E+01
    33   0.107928E+04   0.289048E-01   0.267852E-03   0.190227E+01
    34   0.109539E+04   0.319451E-01   0.284377E-03   0.189799E+01
    35   0.111165E+04   0.352005E-01   0.301408E-03   0.188447E+01
    36   0.112802E+04   0.386918E-01   0.318947E-03   0.186456E+01
    37   0.114452E+04   0.424116E-01   0.336992E-03   0.183426E+01
    38   0.116147E+04   0.463564E-01   0.355543E-03   0.179113E+01
    39   0.117884E+04   0.505377E-01   0.374601E-03   0.173730E+01
    40   0.119634E+04   0.549762E-01   0.394163E-03   0.167580E+01
    41   0.121407E+04   0.596927E-01   0.414230E-03   0.160851E+01
    42   0.123181E+04   0.646886E-01   0.434801E-03   0.153352E+01
    43   0.124971E+04   0.699597E-01   0.455875E-03   0.144801E+01
    44   0.126763E+04   0.754875E-01   0.477450E-03   0.135003E+01
    45   0.128595E+04   0.812634E-01   0.499526E-03   0.123772E+01
    46   0.130460E+04   0.872839E-01   0.522102E-03   0.110795E+01
    47   0.132343E+04   0.935518E-01   0.545176E-03   0.962521E+00
    48   0.134238E+04   0.100078E+00   0.568747E-03   0.807094E+00
    49   0.136152E+04   0.106852E+00   0.592813E-03   0.646740E+00
    50   0.138109E+04   0.113854E+00   0.617375E-03   0.479749E+00
    51   0.140086E+04   0.121062E+00   0.642430E-03   0.302581E+00
    52   0.142105E+04   0.128556E+00   0.667976E-03   0.110002E+00
    53   0.144127E+04   0.136481E+00   0.694014E-03  -0.101797E+00
    54   0.146145E+04   0.144824E+00   0.720542E-03  -0.328653E+00
    55   0.148179E+04   0.153558E+00   0.747559E-03  -0.566291E+00
