#    L    TT             EE             TE             PP             TP          
     2   0.113167E+04   0.548808E-01   0.339917E+01   0.101346E+07   0.320907E+05
     3   0.105336E+04   0.883130E-01   0.424963E+01   0.155988E+07   0.380614E+05
     4   0.981128E+03   0.977554E-01   0.435669E+01   0.204365E+07   0.407962E+05
     5   0.925890E+03   0.853385E-01   0.402533E+01   0.247015E+07   0.418769E+05
     6   0.887067E+03   0.620300E-01   0.348714E+01   0.284592E+07   0.420652E+05
     7   0.860172E+03   0.388816E-01   0.289527E+01   0.317848E+07   0.417175E+05
     8   0.841036E+03   0.222142E-01   0.234748E+01   0.347397E+07   0.409760E+05
     9   0.830870E+03   0.131021E-01   0.188543E+01   0.373771E+07   0.399609E+05
    10   0.828944E+03   0.941925E-02   0.152533E+01   0.397337E+07   0.388156E+05
    11   0.830732E+03   0.829258E-02   0.127290E+01   0.418546E+07   0.376856E+05
    12   0.834330E+03   0.773988E-02   0.112805E+01   0.437566E+07   0.366267E+05
    13   0.838284E+03   0.691092E-02   0.106875E+01   0.454641E+07   0.356327E+05
    14   0.842436E+03   0.600530E-02   0.106776E+01   0.470028E+07   0.346837E+05
    15   0.847625E+03   0.531400E-02   0.110637E+01   0.483893E+07   0.337470E+05
    16   0.854661E+03   0.504317E-02   0.116889E+01   0.496382E+07   0.328000E+05
    17   0.863521E+03   0.518857E-02   0.124024E+01   0.507642E+07   0.318731E+05
    18   0.873235E+03   0.550845E-02   0.130866E+01   0.517806E+07   0.309989E+05
    19   0.884611E+03   0.586984E-02   0.136849E+01   0.526940E+07   0.301657E+05
    20   0.895961E+03   0.625055E-02   0.141478E+01   0.535109E+07   0.293538E+05
    21   0.907624E+03   0.669538E-02   0.145351E+01   0.542417E+07   0.285546E+05
    22   0.919878E+03   0.733640E-02   0.149100E+01   0.548968E+07   0.277679E+05
    23   0.932559E+03   0.822819E-02   0.152878E+01   0.554813E+07   0.270169E+05
    24   0.945751E+03   0.936655E-02   0.156751E+01   0.559994E+07   0.263254E+05
    25   0.959389E+03   0.107608E-01   0.160894E+01   0.564568E+07   0.256972E+05
    26   0.973273E+03   0.123793E-01   0.165557E+01   0.568594E+07   0.251281E+05
    27   0.987599E+03   0.141782E-01   0.170445E+01   0.572118E+07   0.246015E+05
    28   0.100219E+04   0.161446E-01   0.175278E+01   0.575176E+07   0.241004E+05
    29   0.101708E+04   0.182877E-01   0.179866E+01   0.577778E+07   0.236191E+05
    30   0.103219E+04   0.206243E-01   0.183901E+01   0.579933E+07   0.231544E+05
    31   0.104739E+04   0.231394E-01   0.187144E+01   0.581694E+07   0.227012E+05
    32   0.106293E+04   0.258073E-01   0.189364E+01   0.583116E+07   0.222539E+05
    33   0.107882E+04   0.286383E-01   0.190298E+01   0.584221E+07   0.218074E+05
    34   0.109490E+04   0.316623E-01   0.189877E+01   0.585024E+07   0.213587E+05
    35   0.111115E+04   0.349009E-01   0.188532E+01   0.585544E+07   0.209128E+05
    36   0.112749E+04   0.383750E-01   0.186550E+01   0.585804E+07   0.204773E+05
    37   0.114396E+04   0.420772E-01   0.183528E+01   0.585822E+07   0.200621E+05
    38   0.116089E+04   0.460039E-01   0.179224E+01   0.585616E+07   0.196747E+05
    39   0.117823E+04   0.501666E-01   0.173850E+01   0.585197E+07   0.193094E+05
    40   0.119570E+04   0.545861E-01   0.167709E+01   0.584577E+07   0.189571E+05
    41   0.121341E+04   0.592832E-01   0.160989E+01   0.583767E+07   0.186107E+05
    42   0.123112E+04   0.642592E-01   0.153501E+01   0.582779E+07   0.182703E+05
    43   0.124900E+04   0.695101E-01   0.144960E+01   0.581626E+07   0.179377E+05
    44   0.126689E+04   0.750172E-01   0.135172E+01   0.580319E+07   0.176148E+05
    45   0.128518E+04   0.807720E-01   0.123951E+01   0.578871E+07   0.173035E+05
    46   0.130380E+04   0.867711E-01   0.110985E+01   0.577293E+07   0.170050E+05
    47   0.132261E+04   0.930170E-01   0.964525E+00   0.575595E+07   0.167174E+05
    48   0.134153E+04   0.995211E-01   0.809203E+00   0.573785E+07   0.164383E+05
    49   0.136064E+04   0.106272E+00   0.648954E+00   0.571871E+07   0.161652E+05
    50   0.138018E+04   0.113252E+00   0.482068E+00   0.569861E+07   0.158956E+05
    51   0.139992E+04   0.120436E+00   0.305002E+00   0.567763E+07   0.156279E+05
    52   0.142008E+04   0.127907E+00   0.112521E+00   0.565583E+07   0.153640E+05
    53   0.144028E+04   0.135808E+00  -0.991806E-01   0.563326E+07   0.151065E+05
    54   0.146043E+04   0.144127E+00  -0.325944E+00   0.560998E+07   0.148581E+05
    55   0.148074E+04   0.152836E+00  -0.563494E+00   0.558603E+07   0.146216E+05
    56   0.150142E+04   0.161789E+00  -0.813637E+00   0.556147E+07   0.143988E+05
    57   0.152242E+04   0.170879E+00  -0.107620E+01   0.553633E+07   0.141882E+05
    58   0.154373E+04   0.180118E+00  -0.135177E+01   0.551065E+07   0.139875E+05
    59   0.156523E+04   0.189548E+00  -0.164092E+01   0.548444E+07   0.137941E+05
    60   0.158692E+04   0.199225E+00  -0.194282E+01   0.545775E+07   0.136058E+05
    61   0.160911E+04   0.209245E+00  -0.225651E+01   0.543060E+07   0.134205E+05
    62   0.163120E+04   0.219594E+00  -0.258294E+01   0.540305E+07   0.132372E+05
    63   0.165341E+04   0.230228E+00  -0.292319E+01   0.537514E+07   0.130553E+05
    64   0.167603E+04   0.241158E+00  -0.327854E+01   0.534691E+07   0.128742E+05
    65   0.169867E+04   0.252355E+00  -0.364967E+01   0.531843E+07   0.126932E+05
    66   0.172162E+04   0.263752E+00  -0.403477E+01   0.528972E+07   0.125122E+05
    67   0.174474E+04   0.275349E+00  -0.443101E+01   0.526082E+07   0.123328E+05
    68   0.176829E+04   0.287187E+00  -0.483663E+01   0.523176E+07   0.121569E+05
    69   0.179205E+04   0.299228E+00  -0.524979E+01   0.520255E+07   0.119866E+05
    70   0.181614E+04   0.311511E+00  -0.567205E+01   0.517322E+07   0.118239E+05
    71   0.184042E+04   0.324028E+00  -0.610575E+01   0.514378E+07   0.116702E+05
    72   0.186491E+04   0.336750E+00  -0.655227E+01   0.511425E+07   0.115247E+05
    73   0.188958E+04   0.349645E+00  -0.701228E+01   0.508463E+07   0.113858E+05
    74   0.191446E+04   0.362700E+00  -0.748495E+01   0.505492E+07   0.112522E+05
    75   0.193966E+04   0.375927E+00  -0.796885E+01   0.502512E+07   0.111222E+05
    76   0.196513E+04   0.389326E+00  -0.846340E+01   0.499525E+07   0.109946E+05
    77   0.199093E+04   0.402888E+00  -0.896843E+01   0.496532E+07   0.108686E+05
    78   0.201708E+04   0.416641E+00  -0.948535E+01   0.493535E+07   0.107438E+05
    79   0.204341E+04   0.430528E+00  -0.100104E+02   0.490536E+07   0.106194E+05
    80   0.207001E+04   0.444553E+00  -0.105449E+02   0.487537E+07   0.104949E+05
    81   0.209679E+04   0.458666E+00  -0.110894E+02   0.484539E+07   0.103699E+05
    82   0.212383E+04   0.472889E+00  -0.116429E+02   0.481545E+07   0.102452E+05
    83   0.215105E+04   0.487197E+00  -0.122049E+02   0.478556E+07   0.101215E+05
    84   0.217855E+04   0.501586E+00  -0.127735E+02   0.475572E+07   0.999962E+04
    85   0.220619E+04   0.516032E+00  -0.133498E+02   0.472595E+07   0.988052E+04
    86   0.223406E+04   0.530546E+00  -0.139325E+02   0.469627E+07   0.976484E+04
    87   0.226237E+04   0.545099E+00  -0.145210E+02   0.466668E+07   0.965246E+04
    88   0.229067E+04   0.559706E+00  -0.151154E+02   0.463719E+07   0.954310E+04
    89   0.231933E+04   0.574351E+00  -0.157171E+02   0.460780E+07   0.943648E+04
    90   0.234820E+04   0.588998E+00  -0.163234E+02   0.457853E+07   0.933230E+04
    91   0.237719E+04   0.603640E+00  -0.169350E+02   0.454938E+07   0.923031E+04
    92   0.240646E+04   0.618262E+00  -0.175512E+02   0.452035E+07   0.913040E+04
    93   0.243600E+04   0.632858E+00  -0.181721E+02   0.449145E+07   0.903250E+04
    94   0.246560E+04   0.647391E+00  -0.187962E+02   0.446267E+07   0.893655E+04
    95   0.249548E+04   0.661862E+00  -0.194243E+02   0.443404E+07   0.884249E+04
    96   0.252534E+04   0.676257E+00  -0.200556E+02   0.440553E+07   0.875023E+04
    97   0.255563E+04   0.690561E+00  -0.206895E+02   0.437717E+07   0.865971E+04
    98   0.258612E+04   0.704769E+00  -0.213237E+02   0.434895E+07   0.857086E+04
    99   0.261668E+04   0.718843E+00  -0.219613E+02   0.432087E+07   0.848362E+04
   100   0.264752E+04   0.732785E+00  -0.225979E+02   0.429294E+07   0.839792E+04
   101   0.267849E+04   0.746654E+00  -0.232363E+02   0.426516E+07   0.831368E+04
   102   0.270998E+04   0.760303E+00  -0.238746E+02   0.423754E+07   0.823085E+04
   103   0.274138E+04   0.773806E+00  -0.245133E+02   0.421008E+07   0.814934E+04
   104   0.277300E+04   0.787165E+00  -0.251496E+02   0.418277E+07   0.806910E+04
   105   0.280476E+04   0.800306E+00  -0.257851E+02   0.415563E+07   0.799005E+04
   106   0.283673E+04   0.813304E+00  -0.264189E+02   0.412866E+07   0.791213E+04
   107   0.286862E+04   0.826011E+00  -0.270496E+02   0.410186E+07   0.783526E+04
   108   0.290089E+04   0.838502E+00  -0.276781E+02   0.407523E+07   0.775939E+04
   109   0.293329E+04   0.850703E+00  -0.283028E+02   0.404877E+07   0.768443E+04
   110   0.296578E+04   0.862616E+00  -0.289223E+02   0.402250E+07   0.761033E+04
   111   0.299840E+04   0.874315E+00  -0.295382E+02   0.399641E+07   0.753702E+04
   112   0.303118E+04   0.885727E+00  -0.301496E+02   0.397050E+07   0.746450E+04
   113   0.306417E+04   0.896851E+00  -0.307550E+02   0.394477E+07   0.739276E+04
   114   0.309724E+04   0.907614E+00  -0.313538E+02   0.391922E+07   0.732181E+04
   115   0.313052E+04   0.918165E+00  -0.319458E+02   0.389386E+07   0.725165E+04
   116   0.316380E+04   0.928281E+00  -0.325304E+02   0.386868E+07   0.718228E+04
   117   0.319736E+04   0.938037E+00  -0.331067E+02   0.384369E+07   0.711369E+04
   118   0.323107E+04   0.947581E+00  -0.336755E+02   0.381887E+07   0.704590E+04
   119   0.326476E+04   0.956765E+00  -0.342345E+02   0.379424E+07   0.697890E+04
   120   0.329859E+04   0.965442E+00  -0.347837E+02   0.376980E+07   0.691269E+04
   121   0.333241E+04   0.973908E+00  -0.353231E+02   0.374553E+07   0.684728E+04
   122   0.336629E+04   0.981867E+00  -0.358520E+02   0.372145E+07   0.678266E+04
   123   0.340022E+04   0.989394E+00  -0.363703E+02   0.369755E+07   0.671883E+04
   124   0.343422E+04   0.996562E+00  -0.368750E+02   0.367384E+07   0.665581E+04
   125   0.346819E+04   0.100330E+01  -0.373683E+02   0.365031E+07   0.659358E+04
   126   0.350222E+04   0.100968E+01  -0.378495E+02   0.362696E+07   0.653215E+04
   127   0.353623E+04   0.101555E+01  -0.383179E+02   0.360380E+07   0.647152E+04
   128   0.357022E+04   0.102107E+01  -0.387726E+02   0.358082E+07   0.641169E+04
