#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113167E+04   0.339917E+01   0.344263E-02   0.339917E+01   0.548808E-01  -0.163873E-04   0.344263E-02  -0.163873E-04   0.488561E-07
     3   0.105336E+04   0.424963E+01   0.342190E-02   0.424963E+01   0.883130E-01  -0.198895E-04   0.342190E-02  -0.198895E-04   0.594151E-07
     4   0.981128E+03   0.435669E+01   0.332934E-02   0.435669E+01   0.977554E-01  -0.198379E-04   0.332934E-02  -0.198379E-04   0.684155E-07
     5   0.925890E+03   0.402533E+01   0.321455E-02   0.402533E+01   0.853385E-01  -0.172792E-04   0.321455E-02  -0.172792E-04   0.762102E-07
     6   0.887067E+03   0.348714E+01   0.309540E-02   0.348714E+01   0.620300E-01  -0.131634E-04   0.309540E-02  -0.131634E-04   0.829934E-07
     7   0.860172E+03   0.289527E+01   0.297633E-02   0.289527E+01   0.388816E-01  -0.840187E-05   0.297633E-02  -0.840187E-05   0.889470E-07
     8   0.841036E+03   0.234748E+01   0.285518E-02   0.234748E+01   0.222142E-01  -0.381728E-05   0.285518E-02  -0.381728E-05   0.942017E-07
     9   0.830870E+03   0.188543E+01   0.273303E-02   0.188543E+01   0.131021E-01  -0.486260E-07   0.273303E-02  -0.486260E-07   0.988664E-07
    10   0.828944E+03   0.152533E+01   0.261499E-02   0.152533E+01   0.941925E-02   0.256790E-05   0.261499E-02   0.256790E-05   0.103008E-06
    11   0.830732E+03   0.127290E+01   0.250745E-02   0.127290E+01   0.829258E-02   0.399334E-05   0.250745E-02   0.399334E-05   0.106720E-06
    12   0.834330E+03   0.112805E+01   0.241162E-02   0.112805E+01   0.773988E-02   0.432958E-05   0.241162E-02   0.432958E-05   0.110026E-06
    13   0.838284E+03   0.106875E+01   0.232541E-02   0.106875E+01   0.691092E-02   0.374535E-05   0.232541E-02   0.374535E-05   0.112971E-06
    14   0.842436E+03   0.106776E+01   0.224617E-02   0.106776E+01   0.600530E-02   0.246891E-05   0.224617E-02   0.246891E-05   0.115605E-06
    15   0.847625E+03   0.110637E+01   0.217096E-02   0.110637E+01   0.531400E-02   0.918103E-06   0.217096E-02   0.918103E-06   0.117960E-06
    16   0.854661E+03   0.116889E+01   0.209770E-02   0.116889E+01   0.504317E-02  -0.494731E-06   0.209770E-02  -0.494731E-06   0.120061E-06
    17   0.863521E+03   0.124024E+01   0.202784E-02   0.124024E+01   0.518857E-02  -0.156895E-05   0.202784E-02  -0.156895E-05   0.121936E-06
    18   0.873235E+03   0.130866E+01   0.196309E-02   0.130866E+01   0.550845E-02  -0.220119E-05   0.196309E-02  -0.220119E-05   0.123611E-06
    19   0.884611E+03   0.136849E+01   0.190240E-02   0.136849E+01   0.586984E-02  -0.246561E-05   0.190240E-02  -0.246561E-05   0.125096E-06
    20   0.895961E+03   0.141478E+01   0.184426E-02   0.141478E+01   0.625055E-02  -0.245654E-05   0.184426E-02  -0.245654E-05   0.126400E-06
    21   0.907624E+03   0.145351E+01   0.178795E-02   0.145351E+01   0.669538E-02  -0.217156E-05   0.178795E-02  -0.217156E-05   0.127546E-06
    22   0.919878E+03   0.149100E+01   0.173331E-02   0.149100E+01   0.733640E-02  -0.162333E-05   0.173331E-02  -0.162333E-05   0.128554E-06
    23   0.932559E+03   0.152878E+01   0.168165E-02   0.152878E+01   0.822819E-02  -0.981516E-06   0.168165E-02  -0.981516E-06   0.129432E-06
    24   0.945751E+03   0.156751E+01   0.163434E-02   0.156751E+01   0.936655E-02  -0.437806E-06   0.163434E-02  -0.437806E-06   0.130187E-06
    25   0.959389E+03   0.160894E+01   0.159151E-02   0.160894E+01   0.107608E-01  -0.114895E-06   0.159151E-02  -0.114895E-06   0.130831E-06
    26   0.973273E+03   0.165557E+01   0.155281E-02   0.165557E+01   0.123793E-01  -0.743313E-07   0.155281E-02  -0.743313E-07   0.131374E-06
    27   0.987599E+03   0.170445E+01   0.151714E-02   0.170445E+01   0.141782E-01  -0.202081E-06   0.151714E-02  -0.202081E-06   0.131826E-06
    28   0.100219E+04   0.175278E+01   0.148340E-02   0.175278E+01   0.161446E-01  -0.365604E-06   0.148340E-02  -0.365604E-06   0.132193E-06
    29   0.101708E+04   0.179866E+01   0.145118E-02   0.179866E+01   0.182877E-01  -0.533930E-06   0.145118E-02  -0.533930E-06   0.132475E-06
    30   0.103219E+04   0.183901E+01   0.142026E-02   0.183901E+01   0.206243E-01  -0.706817E-06   0.142026E-02  -0.706817E-06   0.132674E-06
    31   0.104739E+04   0.187144E+01   0.139029E-02   0.187144E+01   0.231394E-01  -0.905358E-06   0.139029E-02  -0.905358E-06   0.132800E-06
    32   0.106293E+04   0.189364E+01   0.136090E-02   0.189364E+01   0.258073E-01  -0.113477E-05   0.136090E-02  -0.113477E-05   0.132865E-06
    33   0.107882E+04   0.190298E+01   0.133176E-02   0.190298E+01   0.286383E-01  -0.131543E-05   0.133176E-02  -0.131543E-05   0.132872E-06
    34   0.109490E+04   0.189877E+01   0.130267E-02   0.189877E+01   0.316623E-01  -0.136185E-05   0.130267E-02  -0.136185E-05   0.132825E-06
    35   0.111115E+04   0.188532E+01   0.127391E-02   0.188532E+01   0.349009E-01  -0.124997E-05   0.127391E-02  -0.124997E-05   0.132726E-06
