#    L    TT             EE             BB             TE          
     2   0.113118E+04   0.548822E-01   0.140055E-05   0.339913E+01
     3   0.105272E+04   0.883158E-01   0.280162E-05   0.424958E+01
     4   0.980357E+03   0.977601E-01   0.467053E-05   0.435662E+01
     5   0.925029E+03   0.853455E-01   0.700796E-05   0.402525E+01
     6   0.886130E+03   0.620399E-01   0.981476E-05   0.348705E+01
     7   0.859171E+03   0.388947E-01   0.130919E-04   0.289517E+01
     8   0.839993E+03   0.222310E-01   0.168406E-04   0.234738E+01
     9   0.829812E+03   0.131232E-01   0.210621E-04   0.188534E+01
    10   0.827905E+03   0.944501E-02   0.257577E-04   0.152526E+01
    11   0.829730E+03   0.832351E-02   0.309291E-04   0.127283E+01
    12   0.833374E+03   0.777646E-02   0.365778E-04   0.112793E+01
    13   0.837386E+03   0.695362E-02   0.427054E-04   0.106858E+01
    14   0.841614E+03   0.605460E-02   0.493139E-04   0.106754E+01
    15   0.846897E+03   0.537039E-02   0.564049E-04   0.110609E+01
    16   0.854033E+03   0.510712E-02   0.639804E-04   0.116858E+01
    17   0.862981E+03   0.526057E-02   0.720422E-04   0.123987E+01
    18   0.872752E+03   0.558899E-02   0.805923E-04   0.130824E+01
    19   0.884168E+03   0.595941E-02   0.896324E-04   0.136803E+01
    20   0.895555E+03   0.634962E-02   0.991644E-04   0.141428E+01
    21   0.907259E+03   0.680446E-02   0.109190E-03   0.145294E+01
    22   0.919551E+03   0.745597E-02   0.119712E-03   0.149030E+01
    23   0.932245E+03   0.835874E-02   0.130730E-03   0.152791E+01
    24   0.945403E+03   0.950857E-02   0.142248E-03   0.156646E+01
    25   0.958962E+03   0.109147E-01   0.154265E-03   0.160776E+01
    26   0.972733E+03   0.125457E-01   0.166785E-03   0.165434E+01
    27   0.986949E+03   0.143576E-01   0.179807E-03   0.170324E+01
    28   0.100146E+04   0.163374E-01   0.193334E-03   0.175166E+01
    29   0.101632E+04   0.184944E-01   0.207366E-03   0.179764E+01
    30   0.103144E+04   0.208454E-01   0.221904E-03   0.183807E+01
    31   0.104670E+04   0.233754E-01   0.236948E-03   0.187060E+01
    32   0.106234E+04   0.260586E-01   0.252501E-03   0.189290E+01
    33   0.107837E+04   0.289055E-01   0.268561E-03   0.190228E+01
    34   0.109462E+04   0.319458E-01   0.285129E-03   0.189798E+01
    35   0.111104E+04   0.352013E-01   0.302205E-03   0.188426E+01
    36   0.112757E+04   0.386926E-01   0.319790E-03   0.186400E+01
    37   0.114423E+04   0.424125E-01   0.337882E-03   0.183332E+01
    38   0.116134E+04   0.463574E-01   0.356483E-03   0.178996E+01
    39   0.117886E+04   0.505387E-01   0.375590E-03   0.173599E+01
    40   0.119651E+04   0.549772E-01   0.395204E-03   0.167438E+01
    41   0.121439E+04   0.596938E-01   0.415324E-03   0.160697E+01
    42   0.123228E+04   0.646897E-01   0.435949E-03   0.153185E+01
    43   0.125032E+04   0.699609E-01   0.457078E-03   0.144618E+01
    44   0.126837E+04   0.754887E-01   0.478710E-03   0.134803E+01
    45   0.128681E+04   0.812647E-01   0.500845E-03   0.123554E+01
    46   0.130556E+04   0.872853E-01   0.523480E-03   0.110561E+01
    47   0.132449E+04   0.935532E-01   0.546614E-03   0.960009E+00
    48   0.134351E+04   0.100080E+00   0.570247E-03   0.804397E+00
    49   0.136272E+04   0.106853E+00   0.594378E-03   0.643836E+00
    50   0.138234E+04   0.113856E+00   0.619004E-03   0.476609E+00
    51   0.140215E+04   0.121063E+00   0.644125E-03   0.299171E+00
    52   0.142236E+04   0.128558E+00   0.669739E-03   0.106302E+00
    53   0.144259E+04   0.136483E+00   0.695846E-03  -0.105783E+00
    54   0.146277E+04   0.144826E+00   0.722443E-03  -0.332903E+00
    55   0.148309E+04   0.153560E+00   0.749531E-03  -0.570759E+00
    56   0.150378E+04   0.162538E+00   0.777109E-03  -0.821141E+00
    57   0.152477E+04   0.171653E+00   0.805175E-03  -0.108388E+01
    58   0.154608E+04   0.180917E+00   0.833728E-03  -0.135956E+01
    59   0.156756E+04   0.190373E+00   0.862769E-03  -0.164878E+01
    60   0.158924E+04   0.200076E+00   0.892297E-03  -0.195069E+01
    61   0.161141E+04   0.210122E+00   0.922311E-03  -0.226436E+01
    62   0.163349E+04   0.220496E+00   0.952811E-03  -0.259074E+01
    63   0.165568E+04   0.231157E+00   0.983798E-03  -0.293092E+01
    64   0.167828E+04   0.242113E+00   0.101527E-02  -0.328619E+01
    65   0.170091E+04   0.253338E+00   0.104723E-02  -0.365726E+01
    66   0.172386E+04   0.264761E+00   0.107968E-02  -0.404231E+01
    67   0.174696E+04   0.276385E+00   0.111262E-02  -0.443850E+01
    68   0.177050E+04   0.288250E+00   0.114604E-02  -0.484403E+01
    69   0.179424E+04   0.300318E+00   0.117996E-02  -0.525704E+01
    70   0.181831E+04   0.312629E+00   0.121436E-02  -0.567908E+01
    71   0.184256E+04   0.325172E+00   0.124927E-02  -0.611244E+01
    72   0.186702E+04   0.337922E+00   0.128466E-02  -0.655855E+01
    73   0.189164E+04   0.350844E+00   0.132055E-02  -0.701810E+01
    74   0.191648E+04   0.363927E+00   0.135694E-02  -0.749030E+01
    75   0.194163E+04   0.377181E+00   0.139383E-02  -0.797376E+01
    76   0.196705E+04   0.390607E+00   0.143123E-02  -0.846790E+01
    77   0.199279E+04   0.404198E+00   0.146913E-02  -0.897256E+01
    78   0.201889E+04   0.417977E+00   0.150753E-02  -0.948910E+01
    79   0.204515E+04   0.431892E+00   0.154645E-02  -0.100137E+02
