#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113118E+04   0.339913E+01   0.343938E-02   0.339913E+01   0.548808E-01  -0.163874E-04   0.343938E-02  -0.163874E-04   0.488588E-07
     3   0.105271E+04   0.424958E+01   0.341699E-02   0.424958E+01   0.883130E-01  -0.198897E-04   0.341699E-02  -0.198897E-04   0.594191E-07
     4   0.980347E+03   0.435662E+01   0.332280E-02   0.435662E+01   0.977554E-01  -0.198381E-04   0.332280E-02  -0.198381E-04   0.684206E-07
     5   0.925014E+03   0.402525E+01   0.320640E-02   0.402525E+01   0.853385E-01  -0.172794E-04   0.320640E-02  -0.172794E-04   0.762165E-07
     6   0.886110E+03   0.348705E+01   0.308560E-02   0.348705E+01   0.620300E-01  -0.131637E-04   0.308560E-02  -0.131637E-04   0.830008E-07
     7   0.859144E+03   0.289517E+01   0.296473E-02   0.289517E+01   0.388816E-01  -0.840227E-05   0.296473E-02  -0.840227E-05   0.889556E-07
     8   0.839958E+03   0.234738E+01   0.284178E-02   0.234738E+01   0.222142E-01  -0.381773E-05   0.284178E-02  -0.381773E-05   0.942114E-07
     9   0.829769E+03   0.188534E+01   0.271801E-02   0.188534E+01   0.131021E-01  -0.491085E-07   0.271801E-02  -0.491085E-07   0.988773E-07
    10   0.827853E+03   0.152527E+01   0.259850E-02   0.152527E+01   0.941926E-02   0.256739E-05   0.259850E-02   0.256739E-05   0.103020E-06
    11   0.829668E+03   0.127284E+01   0.248944E-02   0.127284E+01   0.829258E-02   0.399277E-05   0.248944E-02   0.399277E-05   0.106734E-06
    12   0.833300E+03   0.112795E+01   0.239189E-02   0.112795E+01   0.773989E-02   0.432891E-05   0.239189E-02   0.432891E-05   0.110041E-06
    13   0.837300E+03   0.106860E+01   0.230393E-02   0.106860E+01   0.691092E-02   0.374458E-05   0.230393E-02   0.374458E-05   0.112986E-06
    14   0.841516E+03   0.106757E+01   0.222313E-02   0.106757E+01   0.600529E-02   0.246807E-05   0.222313E-02   0.246807E-05   0.115622E-06
    15   0.846785E+03   0.110614E+01   0.214659E-02   0.110614E+01   0.531399E-02   0.917250E-06   0.214659E-02   0.917250E-06   0.117978E-06
    16   0.853907E+03   0.116863E+01   0.207217E-02   0.116863E+01   0.504316E-02  -0.495582E-06   0.207217E-02  -0.495582E-06   0.120080E-06
    17   0.862840E+03   0.123994E+01   0.200103E-02   0.123994E+01   0.518856E-02  -0.156983E-05   0.200103E-02  -0.156983E-05   0.121957E-06
    18   0.872595E+03   0.130832E+01   0.193463E-02   0.130832E+01   0.550844E-02  -0.220216E-05   0.193463E-02  -0.220216E-05   0.123632E-06
    19   0.883995E+03   0.136813E+01   0.187227E-02   0.136813E+01   0.586983E-02  -0.246670E-05   0.187227E-02  -0.246670E-05   0.125118E-06
    20   0.895365E+03   0.141440E+01   0.181285E-02   0.141440E+01   0.625053E-02  -0.245769E-05   0.181285E-02  -0.245769E-05   0.126424E-06
    21   0.907051E+03   0.145309E+01   0.175578E-02   0.145309E+01   0.669536E-02  -0.217274E-05   0.175578E-02  -0.217274E-05   0.127571E-06
    22   0.919324E+03   0.149047E+01   0.170078E-02   0.149047E+01   0.733638E-02  -0.162448E-05   0.170078E-02  -0.162448E-05   0.128580E-06
    23   0.932000E+03   0.152811E+01   0.164825E-02   0.152811E+01   0.822817E-02  -0.982662E-06   0.164825E-02  -0.982662E-06   0.129460E-06
    24   0.945138E+03   0.156669E+01   0.159863E-02   0.156669E+01   0.936653E-02  -0.439001E-06   0.159863E-02  -0.439001E-06   0.130216E-06
