#    L    TT             EE             TE             PP             TP          
     2   0.113045E+04   0.548808E-01   0.339913E+01   0.101346E+07   0.320473E+05
     3   0.105213E+04   0.883130E-01   0.425019E+01   0.155988E+07   0.380149E+05
     4   0.979505E+03   0.977554E-01   0.435801E+01   0.204364E+07   0.407586E+05
     5   0.923564E+03   0.853385E-01   0.402700E+01   0.247014E+07   0.417955E+05
     6   0.882892E+03   0.620300E-01   0.349185E+01   0.284590E+07   0.418892E+05
     7   0.854565E+03   0.388816E-01   0.290115E+01   0.317847E+07   0.414662E+05
     8   0.835359E+03   0.222142E-01   0.234534E+01   0.347395E+07   0.407125E+05
     9   0.823140E+03   0.131021E-01   0.187046E+01   0.373769E+07   0.397253E+05
    10   0.816341E+03   0.941926E-02   0.150124E+01   0.397335E+07   0.386044E+05
    11   0.813388E+03   0.829258E-02   0.124573E+01   0.418543E+07   0.374740E+05
    12   0.814390E+03   0.773989E-02   0.110129E+01   0.437563E+07   0.363936E+05
    13   0.817564E+03   0.691092E-02   0.104367E+01   0.454637E+07   0.353686E+05
    14   0.821974E+03   0.600529E-02   0.104403E+01   0.470024E+07   0.343895E+05
    15   0.827880E+03   0.531399E-02   0.108323E+01   0.483890E+07   0.334264E+05
    16   0.835653E+03   0.504316E-02   0.114556E+01   0.496379E+07   0.324562E+05
    17   0.845202E+03   0.518856E-02   0.121604E+01   0.507638E+07   0.315043E+05
    18   0.855577E+03   0.550844E-02   0.128308E+01   0.517802E+07   0.305994E+05
    19   0.867603E+03   0.586983E-02   0.134117E+01   0.526936E+07   0.297355E+05
    20   0.879599E+03   0.625053E-02   0.138547E+01   0.535104E+07   0.288991E+05
    21   0.891909E+03   0.669536E-02   0.142198E+01   0.542412E+07   0.280839E+05
    22   0.904803E+03   0.733638E-02   0.145706E+01   0.548963E+07   0.272879E+05
    23   0.918091E+03   0.822817E-02   0.149229E+01   0.554808E+07   0.265195E+05
    24   0.931829E+03   0.936653E-02   0.152843E+01   0.559989E+07   0.257876E+05
    25   0.945956E+03   0.107607E-01   0.156729E+01   0.564563E+07   0.250913E+05
    26   0.960282E+03   0.123793E-01   0.161144E+01   0.568589E+07   0.244267E+05
    27   0.975041E+03   0.141782E-01   0.165794E+01   0.572113E+07   0.237893E+05
    28   0.990084E+03   0.161445E-01   0.170400E+01   0.575172E+07   0.231758E+05
    29   0.100547E+04   0.182876E-01   0.174768E+01   0.577773E+07   0.225890E+05
    30   0.102110E+04   0.206242E-01   0.178585E+01   0.579928E+07   0.220315E+05
    31   0.103685E+04   0.231394E-01   0.181618E+01   0.581689E+07   0.214992E+05
    32   0.105297E+04   0.258072E-01   0.183638E+01   0.583111E+07   0.209860E+05
    33   0.106947E+04   0.286383E-01   0.184376E+01   0.584216E+07   0.204858E+05
    34   0.108616E+04   0.316623E-01   0.183752E+01   0.585019E+07   0.199942E+05
    35   0.110302E+04   0.349009E-01   0.182196E+01   0.585539E+07   0.195132E+05
    36   0.111996E+04   0.383750E-01   0.179995E+01   0.585799E+07   0.190473E+05
    37   0.113702E+04   0.420772E-01   0.176763E+01   0.585818E+07   0.186039E+05
    38   0.115451E+04   0.460039E-01   0.172274E+01   0.585612E+07   0.181884E+05
    39   0.117239E+04   0.501667E-01   0.166736E+01   0.585193E+07   0.177957E+05
    40   0.119039E+04   0.545861E-01   0.160446E+01   0.584573E+07   0.174174E+05
    41   0.120861E+04   0.592833E-01   0.153585E+01   0.583763E+07   0.170473E+05
    42   0.122681E+04   0.642592E-01   0.145963E+01   0.582775E+07   0.166850E+05
    43   0.124515E+04   0.695101E-01   0.137298E+01   0.581622E+07   0.163320E+05
    44   0.126347E+04   0.750172E-01   0.127397E+01   0.580315E+07   0.159896E+05
    45   0.128217E+04   0.807720E-01   0.116074E+01   0.578867E+07   0.156592E+05
    46   0.130117E+04   0.867711E-01   0.103019E+01   0.577290E+07   0.153415E+05
    47   0.132032E+04   0.930170E-01   0.884091E+00   0.575592E+07   0.150350E+05
    48   0.133956E+04   0.995211E-01   0.728103E+00   0.573782E+07   0.147372E+05
    49   0.135896E+04   0.106272E+00   0.567289E+00   0.571868E+07   0.144460E+05
    50   0.137876E+04   0.113252E+00   0.399926E+00   0.569858E+07   0.141591E+05
    51   0.139872E+04   0.120436E+00   0.222469E+00   0.567760E+07   0.138749E+05
    52   0.141908E+04   0.127907E+00   0.296996E-01   0.565581E+07   0.135955E+05
    53   0.143944E+04   0.135808E+00  -0.182166E+00   0.563324E+07   0.133235E+05
    54   0.145972E+04   0.144127E+00  -0.408946E+00   0.560996E+07   0.130615E+05
    55   0.148013E+04   0.152836E+00  -0.646341E+00   0.558602E+07   0.128125E+05
    56   0.150090E+04   0.161789E+00  -0.896141E+00   0.556146E+07   0.125781E+05
    57   0.152195E+04   0.170879E+00  -0.115818E+01   0.553632E+07   0.123567E+05
    58   0.154330E+04   0.180118E+00  -0.143304E+01   0.551064E+07   0.121458E+05
    59   0.156482E+04   0.189548E+00  -0.172131E+01   0.548443E+07   0.119428E+05
    60   0.158651E+04   0.199225E+00  -0.202217E+01   0.545774E+07   0.117452E+05
    61   0.160869E+04   0.209245E+00  -0.233467E+01   0.543060E+07   0.115508E+05
    62   0.163075E+04   0.219594E+00  -0.265978E+01   0.540305E+07   0.113588E+05
    63   0.165291E+04   0.230228E+00  -0.299857E+01   0.537514E+07   0.111687E+05
    64   0.167547E+04   0.241158E+00  -0.335236E+01   0.534692E+07   0.109802E+05
    65   0.169804E+04   0.252355E+00  -0.372183E+01   0.531844E+07   0.107928E+05
    66   0.172092E+04   0.263752E+00  -0.410519E+01   0.528974E+07   0.106065E+05
    67   0.174394E+04   0.275349E+00  -0.449959E+01   0.526084E+07   0.104226E+05
    68   0.176739E+04   0.287187E+00  -0.490324E+01   0.523178E+07   0.102428E+05
    69   0.179103E+04   0.299228E+00  -0.531428E+01   0.520257E+07   0.100689E+05
    70   0.181498E+04   0.311511E+00  -0.573425E+01   0.517324E+07   0.990247E+04
    71   0.183910E+04   0.324028E+00  -0.616548E+01   0.514381E+07   0.974487E+04
    72   0.186342E+04   0.336750E+00  -0.660938E+01   0.511428E+07   0.959526E+04
    73   0.188789E+04   0.349645E+00  -0.706665E+01   0.508466E+07   0.945232E+04
    74   0.191257E+04   0.362700E+00  -0.753649E+01   0.505496E+07   0.931475E+04
    75   0.193755E+04   0.375927E+00  -0.801753E+01   0.502517E+07   0.918127E+04
    76   0.196279E+04   0.389326E+00  -0.850920E+01   0.499530E+07   0.905068E+04
    77   0.198835E+04   0.402889E+00  -0.901133E+01   0.496537E+07   0.892230E+04
    78   0.201425E+04   0.416641E+00  -0.952529E+01   0.493540E+07   0.879556E+04
    79   0.204031E+04   0.430528E+00  -0.100473E+02   0.490542E+07   0.866989E+04
    80   0.206665E+04   0.444553E+00  -0.105787E+02   0.487543E+07   0.854474E+04
    81   0.209316E+04   0.458667E+00  -0.111200E+02   0.484546E+07   0.841976E+04
    82   0.211992E+04   0.472890E+00  -0.116701E+02   0.481552E+07   0.829552E+04
    83   0.214687E+04   0.487197E+00  -0.122287E+02   0.478562E+07   0.817282E+04
    84   0.217410E+04   0.501586E+00  -0.127938E+02   0.475579E+07   0.805245E+04
    85   0.220146E+04   0.516032E+00  -0.133663E+02   0.472603E+07   0.793522E+04
    86   0.222904E+04   0.530546E+00  -0.139454E+02   0.469635E+07   0.782173E+04
    87   0.225707E+04   0.545099E+00  -0.145301E+02   0.466676E+07   0.771186E+04
    88   0.228509E+04   0.559706E+00  -0.151206E+02   0.463727E+07   0.760531E+04
    89   0.231347E+04   0.574351E+00  -0.157185E+02   0.460789E+07   0.750176E+04
    90   0.234204E+04   0.588999E+00  -0.163210E+02   0.457862E+07   0.740091E+04
    91   0.237074E+04   0.603640E+00  -0.169288E+02   0.454947E+07   0.730249E+04
    92   0.239971E+04   0.618263E+00  -0.175412E+02   0.452045E+07   0.720639E+04
    93   0.242896E+04   0.632858E+00  -0.181583E+02   0.449155E+07   0.711254E+04
    94   0.245825E+04   0.647391E+00  -0.187787E+02   0.446278E+07   0.702087E+04
    95   0.248783E+04   0.661862E+00  -0.194031E+02   0.443414E+07   0.693130E+04
    96   0.251738E+04   0.676257E+00  -0.200308E+02   0.440564E+07   0.684377E+04
    97   0.254736E+04   0.690562E+00  -0.206611E+02   0.437728E+07   0.675821E+04
    98   0.257755E+04   0.704769E+00  -0.212918E+02   0.434907E+07   0.667453E+04
    99   0.260780E+04   0.718843E+00  -0.219259E+02   0.432099E+07   0.659268E+04
   100   0.263833E+04   0.732785E+00  -0.225590E+02   0.429307E+07   0.651258E+04
   101   0.266900E+04   0.746654E+00  -0.231941E+02   0.426529E+07   0.643416E+04
   102   0.270018E+04   0.760303E+00  -0.238289E+02   0.423767E+07   0.635735E+04
   103   0.273127E+04   0.773806E+00  -0.244644E+02   0.421021E+07   0.628208E+04
   104   0.276259E+04   0.787165E+00  -0.250975E+02   0.418291E+07   0.620827E+04
   105   0.279404E+04   0.800306E+00  -0.257298E+02   0.415578E+07   0.613586E+04
   106   0.282572E+04   0.813304E+00  -0.263605E+02   0.412881E+07   0.606477E+04
   107   0.285732E+04   0.826011E+00  -0.269882E+02   0.410201E+07   0.599494E+04
   108   0.288929E+04   0.838502E+00  -0.276137E+02   0.407538E+07   0.592628E+04
   109   0.292141E+04   0.850704E+00  -0.282355E+02   0.404893E+07   0.585874E+04
   110   0.295361E+04   0.862617E+00  -0.288521E+02   0.402266E+07   0.579223E+04
   111   0.298595E+04   0.874316E+00  -0.294652E+02   0.399657E+07   0.572671E+04
   112   0.301846E+04   0.885727E+00  -0.300739E+02   0.397066E+07   0.566214E+04
   113   0.305118E+04   0.896852E+00  -0.306767E+02   0.394494E+07   0.559852E+04
   114   0.308398E+04   0.907615E+00  -0.312729E+02   0.391939E+07   0.553583E+04
   115   0.311700E+04   0.918166E+00  -0.318625E+02   0.389404E+07   0.547407E+04
   116   0.315002E+04   0.928281E+00  -0.324446E+02   0.386886E+07   0.541322E+04
   117   0.318334E+04   0.938037E+00  -0.330186E+02   0.384387E+07   0.535328E+04
   118   0.321680E+04   0.947581E+00  -0.335851E+02   0.381905E+07   0.529423E+04
   119   0.325025E+04   0.956766E+00  -0.341420E+02   0.379443E+07   0.523606E+04
   120   0.328385E+04   0.965442E+00  -0.346891E+02   0.376998E+07   0.517876E+04
   121   0.331743E+04   0.973909E+00  -0.352265E+02   0.374572E+07   0.512232E+04
   122   0.335109E+04   0.981868E+00  -0.357534E+02   0.372164E+07   0.506674E+04
   123   0.338480E+04   0.989394E+00  -0.362699E+02   0.369775E+07   0.501199E+04
   124   0.341858E+04   0.996562E+00  -0.367728E+02   0.367404E+07   0.495807E+04
   125   0.345235E+04   0.100330E+01  -0.372645E+02   0.365051E+07   0.490497E+04
   126   0.348618E+04   0.100968E+01  -0.377441E+02   0.362717E+07   0.485267E+04
   127   0.351999E+04   0.101555E+01  -0.382109E+02   0.360400E+07   0.480117E+04
   128   0.355379E+04   0.102107E+01  -0.386641E+02   0.358103E+07   0.475046E+04
   129   0.358764E+04   0.102608E+01  -0.391031E+02   0.355823E+07   0.470052E+04
   130   0.362147E+04   0.103059E+01  -0.395269E+02   0.353563E+07   0.465134E+04
   131   0.365529E+04   0.103474E+01  -0.399372E+02   0.351320E+07   0.460292E+04
   132   0.368916E+04   0.103839E+01  -0.403309E+02   0.349096E+07   0.455524E+04
   133   0.372294E+04   0.104160E+01  -0.407103E+02   0.346890E+07   0.450828E+04
   134   0.375670E+04   0.104439E+01  -0.410710E+02   0.344702E+07   0.446204E+04
   135   0.379045E+04   0.104668E+01  -0.414161E+02   0.342532E+07   0.441650E+04
   136   0.382403E+04   0.104846E+01  -0.417417E+02   0.340379E+07   0.437166E+04
   137   0.385760E+04   0.104982E+01  -0.420503E+02   0.338245E+07   0.432748E+04
   138   0.389109E+04   0.105067E+01  -0.423403E+02   0.336128E+07   0.428398E+04
   139   0.392434E+04   0.105117E+01  -0.426111E+02   0.334028E+07   0.424112E+04
   140   0.395766E+04   0.105109E+01  -0.428634E+02   0.331946E+07   0.419890E+04
   141   0.399075E+04   0.105052E+01  -0.430950E+02   0.329881E+07   0.415731E+04
   142   0.402384E+04   0.104951E+01  -0.433067E+02   0.327833E+07   0.411633E+04
   143   0.405684E+04   0.104809E+01  -0.434986E+02   0.325802E+07   0.407595E+04
   144   0.408962E+04   0.104616E+01  -0.436699E+02   0.323788E+07   0.403616E+04
   145   0.412225E+04   0.104388E+01  -0.438200E+02   0.321790E+07   0.399695E+04
   146   0.415495E+04   0.104102E+01  -0.439489E+02   0.319810E+07   0.395830E+04
   147   0.418728E+04   0.103782E+01  -0.440551E+02   0.317845E+07   0.392019E+04
   148   0.421946E+04   0.103411E+01  -0.441401E+02   0.315898E+07   0.388263E+04
   149   0.425157E+04   0.102999E+01  -0.442026E+02   0.313966E+07   0.384559E+04
   150   0.428338E+04   0.102551E+01  -0.442402E+02   0.312051E+07   0.380906E+04
   151   0.431505E+04   0.102061E+01  -0.442561E+02   0.310151E+07   0.377303E+04
   152   0.434643E+04   0.101521E+01  -0.442487E+02   0.308268E+07   0.373749E+04
   153   0.437767E+04   0.100946E+01  -0.442159E+02   0.306400E+07   0.370243E+04
   154   0.440868E+04   0.100336E+01  -0.441597E+02   0.304549E+07   0.366785E+04
   155   0.443947E+04   0.996911E+00  -0.440795E+02   0.302712E+07   0.363372E+04
   156   0.446990E+04   0.990111E+00  -0.439753E+02   0.300892E+07   0.360006E+04
   157   0.450025E+04   0.982959E+00  -0.438456E+02   0.299086E+07   0.356684E+04
   158   0.453030E+04   0.975531E+00  -0.436910E+02   0.297296E+07   0.353405E+04
   159   0.456005E+04   0.967676E+00  -0.435117E+02   0.295522E+07   0.350170E+04
   160   0.458958E+04   0.959543E+00  -0.433061E+02   0.293762E+07   0.346977E+04
   161   0.461888E+04   0.951207E+00  -0.430757E+02   0.292017E+07   0.343824E+04
   162   0.464788E+04   0.942518E+00  -0.428205E+02   0.290287E+07   0.340712E+04
   163   0.467673E+04   0.933550E+00  -0.425390E+02   0.288572E+07   0.337640E+04
   164   0.470513E+04   0.924377E+00  -0.422327E+02   0.286872E+07   0.334606E+04
   165   0.473337E+04   0.914925E+00  -0.418993E+02   0.285186E+07   0.331609E+04
   166   0.476131E+04   0.905342E+00  -0.415403E+02   0.283515E+07   0.328649E+04
   167   0.478902E+04   0.895404E+00  -0.411565E+02   0.281858E+07   0.325725E+04
   168   0.481628E+04   0.885484E+00  -0.407457E+02   0.280215E+07   0.322836E+04
   169   0.484323E+04   0.875282E+00  -0.403077E+02   0.278586E+07   0.319982E+04
   170   0.486987E+04   0.865022E+00  -0.398442E+02   0.276972E+07   0.317160E+04
   171   0.489606E+04   0.854704E+00  -0.393528E+02   0.275371E+07   0.314371E+04
   172   0.492186E+04   0.844253E+00  -0.388351E+02   0.273784E+07   0.311613E+04
   173   0.494721E+04   0.833669E+00  -0.382910E+02   0.272211E+07   0.308886E+04
   174   0.497224E+04   0.823248E+00  -0.377206E+02   0.270651E+07   0.306188E+04
   175   0.499689E+04   0.812693E+00  -0.371230E+02   0.269105E+07   0.303519E+04
   176   0.502101E+04   0.802226E+00  -0.364984E+02   0.267572E+07   0.300879E+04
   177   0.504474E+04   0.791773E+00  -0.358481E+02   0.266053E+07   0.298266E+04
   178   0.506802E+04   0.781555E+00  -0.351707E+02   0.264547E+07   0.295680E+04
   179   0.509083E+04   0.771275E+00  -0.344662E+02   0.263053E+07   0.293120E+04
   180   0.511334E+04   0.761154E+00  -0.337360E+02   0.261573E+07   0.290587E+04
   181   0.513532E+04   0.751193E+00  -0.329803E+02   0.260105E+07   0.288079E+04
   182   0.515684E+04   0.741463E+00  -0.321975E+02   0.258650E+07   0.285597E+04
   183   0.517784E+04   0.731891E+00  -0.313891E+02   0.257208E+07   0.283139E+04
   184   0.519845E+04   0.722550E+00  -0.305543E+02   0.255777E+07   0.280706E+04
   185   0.521862E+04   0.713587E+00  -0.296954E+02   0.254359E+07   0.278297E+04
   186   0.523796E+04   0.704861E+00  -0.288094E+02   0.252954E+07   0.275911E+04
   187   0.525715E+04   0.696511E+00  -0.278978E+02   0.251560E+07   0.273548E+04
   188   0.527581E+04   0.688523E+00  -0.269622E+02   0.250178E+07   0.271207E+04
   189   0.529388E+04   0.680933E+00  -0.260009E+02   0.248807E+07   0.268889E+04
   190   0.531180E+04   0.673791E+00  -0.250163E+02   0.247448E+07   0.266592E+04
   191   0.532882E+04   0.667120E+00  -0.240054E+02   0.246101E+07   0.264316E+04
   192   0.534547E+04   0.660940E+00  -0.229704E+02   0.244765E+07   0.262062E+04
   193   0.536153E+04   0.655297E+00  -0.219128E+02   0.243440E+07   0.259827E+04
   194   0.537722E+04   0.650217E+00  -0.208303E+02   0.242127E+07   0.257612E+04
   195   0.539232E+04   0.645739E+00  -0.197253E+02   0.240824E+07   0.255417E+04
   196   0.540683E+04   0.641897E+00  -0.185969E+02   0.239532E+07   0.253240E+04
   197   0.542089E+04   0.638737E+00  -0.174467E+02   0.238250E+07   0.251082E+04
   198   0.543444E+04   0.636279E+00  -0.162739E+02   0.236980E+07   0.248942E+04
   199   0.544748E+04   0.634560E+00  -0.150793E+02   0.235719E+07   0.246819E+04
   200   0.546000E+04   0.633609E+00  -0.138635E+02   0.234469E+07   0.244714E+04
   201   0.547194E+04   0.633484E+00  -0.126260E+02   0.233229E+07   0.242625E+04
   202   0.548336E+04   0.634192E+00  -0.113681E+02   0.231999E+07   0.240553E+04
   203   0.549420E+04   0.635791E+00  -0.100891E+02   0.230780E+07   0.238497E+04
   204   0.550438E+04   0.638303E+00  -0.879192E+01   0.229570E+07   0.236458E+04
   205   0.551404E+04   0.641772E+00  -0.747437E+01   0.228369E+07   0.234435E+04
   206   0.552304E+04   0.646234E+00  -0.613769E+01   0.227179E+07   0.232428E+04
   207   0.553153E+04   0.651709E+00  -0.478232E+01   0.225998E+07   0.230438E+04
   208   0.553928E+04   0.658250E+00  -0.340875E+01   0.224827E+07   0.228463E+04
   209   0.554645E+04   0.665877E+00  -0.201736E+01   0.223665E+07   0.226505E+04
   210   0.555302E+04   0.674642E+00  -0.609028E+00   0.222513E+07   0.224562E+04
   211   0.555901E+04   0.684574E+00   0.816204E+00   0.221370E+07   0.222636E+04
   212   0.556426E+04   0.695701E+00   0.225741E+01   0.220236E+07   0.220725E+04
   213   0.556900E+04   0.708066E+00   0.371464E+01   0.219112E+07   0.218830E+04
   214   0.557308E+04   0.721663E+00   0.518670E+01   0.217996E+07   0.216951E+04
   215   0.557656E+04   0.736682E+00   0.667286E+01   0.216890E+07   0.215088E+04
   216   0.557939E+04   0.752938E+00   0.817365E+01   0.215792E+07   0.213239E+04
   217   0.558169E+04   0.770585E+00   0.968708E+01   0.214703E+07   0.211407E+04
   218   0.558334E+04   0.789622E+00   0.112134E+02   0.213623E+07   0.209590E+04
   219   0.558439E+04   0.810049E+00   0.127535E+02   0.212552E+07   0.207788E+04
