#    L    TT             EE             BB             TE          
     2   0.113045E+04   0.548822E-01   0.139698E-05   0.339913E+01
     3   0.105214E+04   0.883158E-01   0.279449E-05   0.425019E+01
     4   0.979514E+03   0.977601E-01   0.465864E-05   0.435801E+01
     5   0.923579E+03   0.853455E-01   0.699012E-05   0.402700E+01
     6   0.882912E+03   0.620398E-01   0.978978E-05   0.349185E+01
     7   0.854592E+03   0.388947E-01   0.130586E-04   0.290115E+01
     8   0.835393E+03   0.222310E-01   0.167978E-04   0.234534E+01
     9   0.823183E+03   0.131231E-01   0.210085E-04   0.187045E+01
    10   0.816393E+03   0.944495E-02   0.256923E-04   0.150124E+01
    11   0.813451E+03   0.832343E-02   0.308505E-04   0.124572E+01
    12   0.814463E+03   0.777637E-02   0.364849E-04   0.110127E+01
    13   0.817650E+03   0.695351E-02   0.425970E-04   0.104365E+01
    14   0.822072E+03   0.605447E-02   0.491888E-04   0.104399E+01
    15   0.827991E+03   0.537024E-02   0.562619E-04   0.108318E+01
    16   0.835779E+03   0.510696E-02   0.638183E-04   0.114551E+01
    17   0.845343E+03   0.526039E-02   0.718598E-04   0.121598E+01
    18   0.855734E+03   0.558879E-02   0.803883E-04   0.128300E+01
    19   0.867776E+03   0.595918E-02   0.894056E-04   0.134107E+01
    20   0.879789E+03   0.634937E-02   0.989137E-04   0.138535E+01
    21   0.892116E+03   0.680418E-02   0.108914E-03   0.142184E+01
    22   0.905029E+03   0.745567E-02   0.119409E-03   0.145689E+01
    23   0.918336E+03   0.835841E-02   0.130400E-03   0.149209E+01
    24   0.932094E+03   0.950821E-02   0.141889E-03   0.152820E+01
    25   0.946241E+03   0.109143E-01   0.153877E-03   0.156703E+01
    26   0.960587E+03   0.125453E-01   0.166365E-03   0.161113E+01
    27   0.975367E+03   0.143571E-01   0.179355E-03   0.165759E+01
    28   0.990432E+03   0.163369E-01   0.192848E-03   0.170360E+01
    29   0.100584E+04   0.184939E-01   0.206844E-03   0.174723E+01
    30   0.102149E+04   0.208448E-01   0.221346E-03   0.178534E+01
    31   0.103727E+04   0.233748E-01   0.236353E-03   0.181561E+01
    32   0.105341E+04   0.260580E-01   0.251867E-03   0.183575E+01
    33   0.106993E+04   0.289048E-01   0.267887E-03   0.184306E+01
    34   0.108665E+04   0.319451E-01   0.284414E-03   0.183676E+01
    35   0.110353E+04   0.352005E-01   0.301448E-03   0.182111E+01
    36   0.112050E+04   0.386918E-01   0.318989E-03   0.179903E+01
    37   0.113758E+04   0.424117E-01   0.337036E-03   0.176663E+01
    38   0.115509E+04   0.463565E-01   0.355590E-03   0.172165E+01
    39   0.117300E+04   0.505378E-01   0.374650E-03   0.166618E+01
    40   0.119103E+04   0.549762E-01   0.394216E-03   0.160318E+01
    41   0.120927E+04   0.596928E-01   0.414286E-03   0.153448E+01
    42   0.122750E+04   0.646886E-01   0.434859E-03   0.145817E+01
    43   0.124586E+04   0.699598E-01   0.455936E-03   0.137142E+01
    44   0.126421E+04   0.754876E-01   0.477514E-03   0.127231E+01
    45   0.128294E+04   0.812635E-01   0.499593E-03   0.115897E+01
    46   0.130196E+04   0.872840E-01   0.522172E-03   0.102832E+01
    47   0.132114E+04   0.935518E-01   0.545249E-03   0.882114E+00
    48   0.134041E+04   0.100078E+00   0.568823E-03   0.726022E+00
    49   0.135984E+04   0.106852E+00   0.592893E-03   0.565104E+00
    50   0.137966E+04   0.113854E+00   0.617457E-03   0.397639E+00
    51   0.139966E+04   0.121062E+00   0.642515E-03   0.220082E+00
    52   0.142004E+04   0.128556E+00   0.668065E-03   0.272150E-01
    53   0.144042E+04   0.136481E+00   0.694106E-03  -0.184745E+00
    54   0.146073E+04   0.144824E+00   0.720637E-03  -0.411616E+00
    55   0.148118E+04   0.153558E+00   0.747657E-03  -0.649097E+00
    56   0.150197E+04   0.162536E+00   0.775165E-03  -0.898978E+00
    57   0.152305E+04   0.171651E+00   0.803160E-03  -0.116109E+01
    58   0.154444E+04   0.180915E+00   0.831642E-03  -0.143602E+01
    59   0.156598E+04   0.190371E+00   0.860609E-03  -0.172435E+01
    60   0.158770E+04   0.200074E+00   0.890062E-03  -0.202527E+01
    61   0.160991E+04   0.210120E+00   0.920000E-03  -0.233781E+01
    62   0.163200E+04   0.220494E+00   0.950423E-03  -0.266295E+01
    63   0.165419E+04   0.231155E+00   0.981331E-03  -0.300176E+01
    64   0.167678E+04   0.242111E+00   0.101272E-02  -0.335555E+01
    65   0.169938E+04   0.253335E+00   0.104460E-02  -0.372502E+01
    66   0.172229E+04   0.264758E+00   0.107697E-02  -0.410836E+01
    67   0.174534E+04   0.276382E+00   0.110982E-02  -0.450272E+01
    68   0.176882E+04   0.288248E+00   0.114316E-02  -0.490632E+01
    69   0.179249E+04   0.300315E+00   0.117699E-02  -0.531729E+01
    70   0.181647E+04   0.312626E+00   0.121131E-02  -0.573719E+01
    71   0.184062E+04   0.325169E+00   0.124612E-02  -0.616831E+01
    72   0.186497E+04   0.337919E+00   0.128142E-02  -0.661208E+01
    73   0.188947E+04   0.350841E+00   0.131722E-02  -0.706920E+01
    74   0.191417E+04   0.363924E+00   0.135352E-02  -0.753887E+01
