#    L    TT             EE             BB             TE          
     2   0.113326E+04   0.548420E-01   0.124943E-05   0.340474E+01
     3   0.105360E+04   0.881474E-01   0.249941E-05   0.424095E+01
     4   0.979953E+03   0.974794E-01   0.416686E-05   0.433418E+01
     5   0.923313E+03   0.850143E-01   0.625250E-05   0.399361E+01
     6   0.882247E+03   0.617245E-01   0.875719E-05   0.345495E+01
     7   0.853678E+03   0.386485E-01   0.116819E-04   0.286424E+01
     8   0.834225E+03   0.220891E-01   0.150279E-04   0.231302E+01
     9   0.821820E+03   0.130988E-01   0.187964E-04   0.184588E+01
    10   0.815020E+03   0.952568E-02   0.229889E-04   0.148212E+01
    11   0.812245E+03   0.846784E-02   0.276069E-04   0.122804E+01
    12   0.813415E+03   0.792835E-02   0.326519E-04   0.108186E+01
    13   0.816743E+03   0.706232E-02   0.381258E-04   0.102267E+01
    14   0.821343E+03   0.608213E-02   0.440303E-04   0.102398E+01
    15   0.827502E+03   0.530383E-02   0.503672E-04   0.106285E+01
    16   0.835600E+03   0.495687E-02   0.571384E-04   0.111973E+01
    17   0.845499E+03   0.504064E-02   0.643458E-04   0.118196E+01
    18   0.856203E+03   0.531121E-02   0.719912E-04   0.124146E+01
    19   0.868568E+03   0.562941E-02   0.800765E-04   0.129483E+01
    20   0.880949E+03   0.596507E-02   0.886036E-04   0.133773E+01
    21   0.893691E+03   0.635190E-02   0.975742E-04   0.137154E+01
    22   0.907050E+03   0.691381E-02   0.106990E-03   0.139880E+01
    23   0.920811E+03   0.771252E-02   0.116853E-03   0.142585E+01
    24   0.935016E+03   0.875114E-02   0.127164E-03   0.145832E+01
    25   0.949645E+03   0.100319E-01   0.137925E-03   0.149499E+01
    26   0.964544E+03   0.115175E-01   0.149137E-03   0.153485E+01
    27   0.979923E+03   0.131774E-01   0.160802E-03   0.157705E+01
    28   0.995595E+03   0.150087E-01   0.172920E-03   0.162116E+01
    29   0.101160E+04   0.169978E-01   0.185493E-03   0.166312E+01
    30   0.102784E+04   0.191427E-01   0.198520E-03   0.169768E+01
    31   0.104422E+04   0.214572E-01   0.212004E-03   0.172489E+01
    32   0.106103E+04   0.239424E-01   0.225944E-03   0.174512E+01
    33   0.107826E+04   0.265799E-01   0.240340E-03   0.175504E+01
    34   0.109571E+04   0.293672E-01   0.255193E-03   0.175204E+01
    35   0.111336E+04   0.323368E-01   0.270503E-03   0.173704E+01
    36   0.113114E+04   0.355291E-01   0.286270E-03   0.171099E+01
    37   0.114904E+04   0.389475E-01   0.302493E-03   0.167538E+01
    38   0.116734E+04   0.425929E-01   0.319171E-03   0.163324E+01
    39   0.118604E+04   0.464645E-01   0.336305E-03   0.158432E+01
    40   0.120488E+04   0.505665E-01   0.353894E-03   0.152731E+01
    41   0.122398E+04   0.549079E-01   0.371936E-03   0.146084E+01
    42   0.124310E+04   0.594951E-01   0.390431E-03   0.138388E+01
    43   0.126239E+04   0.643342E-01   0.409378E-03   0.129555E+01
    44   0.128169E+04   0.694161E-01   0.428776E-03   0.119585E+01
    45   0.130135E+04   0.747422E-01   0.448624E-03   0.108485E+01
    46   0.132131E+04   0.803157E-01   0.468920E-03   0.960783E+00
    47   0.134141E+04   0.861331E-01   0.489663E-03   0.824309E+00
    48   0.136161E+04   0.921964E-01   0.510853E-03   0.679376E+00
    49   0.138199E+04   0.984853E-01   0.532487E-03   0.529334E+00
    50   0.140279E+04   0.104972E+00   0.554566E-03   0.370752E+00
    51   0.142379E+04   0.111627E+00   0.577087E-03   0.198904E+00
    52   0.144520E+04   0.118538E+00   0.600049E-03   0.953463E-02
    53   0.146662E+04   0.125858E+00   0.623452E-03  -0.199648E+00
    54   0.148797E+04   0.133585E+00   0.647295E-03  -0.422967E+00
    55   0.150945E+04   0.141699E+00   0.671577E-03  -0.654628E+00
    56   0.153125E+04   0.150062E+00   0.696297E-03  -0.895352E+00
    57   0.155333E+04   0.158561E+00   0.721454E-03  -0.114560E+01
    58   0.157570E+04   0.167202E+00   0.747049E-03  -0.140700E+01
    59   0.159824E+04   0.176020E+00   0.773080E-03  -0.168120E+01
    60   0.162097E+04   0.185063E+00   0.799548E-03  -0.196842E+01
    61   0.164420E+04   0.194422E+00   0.826453E-03  -0.226850E+01
    62   0.166734E+04   0.204088E+00   0.853795E-03  -0.258215E+01
    63   0.169059E+04   0.214025E+00   0.881574E-03  -0.290993E+01
    64   0.171424E+04   0.224249E+00   0.909791E-03  -0.325261E+01
    65   0.173790E+04   0.234741E+00   0.938446E-03  -0.361039E+01
    66   0.176186E+04   0.245437E+00   0.967541E-03  -0.398107E+01
    67   0.178594E+04   0.256336E+00   0.997077E-03  -0.436200E+01
    68   0.181044E+04   0.267478E+00   0.102705E-02  -0.475171E+01
    69   0.183510E+04   0.278820E+00   0.105748E-02  -0.514868E+01
    70   0.186007E+04   0.290401E+00   0.108834E-02  -0.555479E+01
    71   0.188518E+04   0.302208E+00   0.111965E-02  -0.597257E+01
    72   0.191047E+04   0.314217E+00   0.115142E-02  -0.640323E+01
    73   0.193593E+04   0.326396E+00   0.118363E-02  -0.684717E+01
    74   0.196159E+04   0.338736E+00   0.121629E-02  -0.730328E+01
    75   0.198759E+04   0.351248E+00   0.124941E-02  -0.776988E+01
    76   0.201388E+04   0.363938E+00   0.128299E-02  -0.824618E+01
    77   0.204049E+04   0.376797E+00   0.131703E-02  -0.873218E+01
    78   0.206746E+04   0.389855E+00   0.135153E-02  -0.922955E+01
    79   0.209456E+04   0.403059E+00   0.138649E-02  -0.973475E+01
    80   0.212190E+04   0.416414E+00   0.142192E-02  -0.102494E+02
    81   0.214935E+04   0.429872E+00   0.145783E-02  -0.107743E+02
    82   0.217702E+04   0.443454E+00   0.149420E-02  -0.113085E+02
    83   0.220484E+04   0.457135E+00   0.153106E-02  -0.118516E+02
    84   0.223291E+04   0.470911E+00   0.156839E-02  -0.124017E+02
    85   0.226113E+04   0.484756E+00   0.160620E-02  -0.129601E+02
    86   0.228957E+04   0.498682E+00   0.164450E-02  -0.135256E+02
    87   0.231846E+04   0.512661E+00   0.168328E-02  -0.140973E+02
    88   0.234734E+04   0.526712E+00   0.172255E-02  -0.146754E+02
    89   0.237658E+04   0.540823E+00   0.176232E-02  -0.152611E+02
    90   0.240600E+04   0.554960E+00   0.180258E-02  -0.158515E+02
    91   0.243554E+04   0.569118E+00   0.184334E-02  -0.164474E+02
    92   0.246534E+04   0.583284E+00   0.188459E-02  -0.170480E+02
    93   0.249539E+04   0.597453E+00   0.192635E-02  -0.176534E+02
    94   0.252549E+04   0.611590E+00   0.196861E-02  -0.182623E+02
    95   0.255585E+04   0.625695E+00   0.201138E-02  -0.188755E+02
    96   0.258618E+04   0.639756E+00   0.205466E-02  -0.194923E+02
    97   0.261693E+04   0.653759E+00   0.209844E-02  -0.201121E+02
    98   0.264787E+04   0.667698E+00   0.214274E-02  -0.207328E+02
    99   0.267887E+04   0.681539E+00   0.218755E-02  -0.213574E+02
   100   0.271015E+04   0.695283E+00   0.223288E-02  -0.219816E+02
   101   0.274156E+04   0.708990E+00   0.227873E-02  -0.226084E+02
   102   0.277347E+04   0.722514E+00   0.232509E-02  -0.232357E+02
   103   0.280529E+04   0.735931E+00   0.237198E-02  -0.238644E+02
   104   0.283732E+04   0.749243E+00   0.241939E-02  -0.244915E+02
   105   0.286950E+04   0.762377E+00   0.246733E-02  -0.251187E+02
   106   0.290189E+04   0.775408E+00   0.251579E-02  -0.257453E+02
   107   0.293420E+04   0.788190E+00   0.256478E-02  -0.263699E+02
   108   0.296688E+04   0.800800E+00   0.261430E-02  -0.269934E+02
   109   0.299971E+04   0.813163E+00   0.266435E-02  -0.276144E+02
   110   0.303262E+04   0.825283E+00   0.271494E-02  -0.282314E+02
   111   0.306568E+04   0.837234E+00   0.276606E-02  -0.288460E+02
   112   0.309889E+04   0.848943E+00   0.281773E-02  -0.294576E+02
   113   0.313233E+04   0.860411E+00   0.286994E-02  -0.300646E+02
   114   0.316585E+04   0.871562E+00   0.292269E-02  -0.306663E+02
   115   0.319958E+04   0.882546E+00   0.297598E-02  -0.312626E+02
   116   0.323332E+04   0.893141E+00   0.302983E-02  -0.318529E+02
   117   0.326735E+04   0.903421E+00   0.308424E-02  -0.324363E+02
   118   0.330152E+04   0.913534E+00   0.313919E-02  -0.330136E+02
   119   0.333569E+04   0.923333E+00   0.319472E-02  -0.335826E+02
   120   0.337001E+04   0.932670E+00   0.325080E-02  -0.341432E+02
   121   0.340431E+04   0.941840E+00   0.330746E-02  -0.346955E+02
   122   0.343868E+04   0.950549E+00   0.336469E-02  -0.352387E+02
   123   0.347312E+04   0.958869E+00   0.342249E-02  -0.357728E+02
   124   0.350761E+04   0.966877E+00   0.348088E-02  -0.362949E+02
   125   0.354210E+04   0.974498E+00   0.353986E-02  -0.368071E+02
   126   0.357665E+04   0.981805E+00   0.359944E-02  -0.373087E+02
   127   0.361118E+04   0.988652E+00   0.365961E-02  -0.377989E+02
   128   0.364569E+04   0.995188E+00   0.372039E-02  -0.382771E+02
   129   0.368026E+04   0.100126E+01   0.378178E-02  -0.387424E+02
   130   0.371482E+04   0.100688E+01   0.384380E-02  -0.391941E+02
   131   0.374935E+04   0.101218E+01   0.390643E-02  -0.396337E+02
   132   0.378394E+04   0.101702E+01   0.396970E-02  -0.400583E+02
