#           k/h    P           
   0.100000E-03   0.536680E+03
   0.102020E-03   0.547077E+03
   0.104081E-03   0.557675E+03
   0.106184E-03   0.568477E+03
   0.108329E-03   0.579489E+03
   0.110517E-03   0.590713E+03
   0.112750E-03   0.602155E+03
   0.115027E-03   0.613817E+03
   0.117351E-03   0.625706E+03
   0.119722E-03   0.637824E+03
   0.122140E-03   0.650176E+03
   0.124608E-03   0.662767E+03
   0.127125E-03   0.675601E+03
   0.129693E-03   0.688683E+03
   0.132313E-03   0.702018E+03
   0.134986E-03   0.715610E+03
   0.137713E-03   0.729465E+03
   0.140495E-03   0.743587E+03
   0.143333E-03   0.757982E+03
   0.146228E-03   0.772655E+03
   0.149182E-03   0.787611E+03
   0.152196E-03   0.802856E+03
   0.155271E-03   0.818395E+03
   0.158407E-03   0.834233E+03
   0.161607E-03   0.850377E+03
   0.164872E-03   0.866832E+03
   0.168203E-03   0.883605E+03
   0.171601E-03   0.900700E+03
   0.175067E-03   0.918125E+03
   0.178604E-03   0.935886E+03
   0.182212E-03   0.953989E+03
   0.185893E-03   0.972440E+03
   0.189648E-03   0.991246E+03
   0.193479E-03   0.101041E+04
   0.197388E-03   0.102995E+04
   0.201375E-03   0.104986E+04
   0.205443E-03   0.107016E+04
   0.209594E-03   0.109085E+04
   0.213828E-03   0.111193E+04
   0.218147E-03   0.113342E+04
   0.222554E-03   0.115532E+04
   0.227050E-03   0.117764E+04
   0.231637E-03   0.120039E+04
   0.236316E-03   0.122357E+04
   0.241090E-03   0.124720E+04
   0.245960E-03   0.127128E+04
   0.250929E-03   0.129583E+04
   0.255998E-03   0.132084E+04
   0.261170E-03   0.134633E+04
   0.266446E-03   0.137231E+04
   0.271828E-03   0.139879E+04
   0.277319E-03   0.142577E+04
   0.282922E-03   0.145327E+04
   0.288637E-03   0.148129E+04
   0.294468E-03   0.150984E+04
   0.300417E-03   0.153894E+04
   0.306485E-03   0.156860E+04
   0.312677E-03   0.159882E+04
   0.318993E-03   0.162961E+04
   0.325437E-03   0.166099E+04
   0.332012E-03   0.169296E+04
   0.338719E-03   0.172554E+04
   0.345561E-03   0.175874E+04
   0.352542E-03   0.179257E+04
   0.359664E-03   0.182704E+04
   0.366930E-03   0.186216E+04
   0.374342E-03   0.189794E+04
   0.381904E-03   0.193440E+04
   0.389619E-03   0.197155E+04
   0.397490E-03   0.200940E+04
   0.405520E-03   0.204796E+04
   0.413712E-03   0.208724E+04
   0.422070E-03   0.212727E+04
   0.430596E-03   0.216804E+04
   0.439295E-03   0.220958E+04
   0.448169E-03   0.225190E+04
   0.457222E-03   0.229500E+04
   0.466459E-03   0.233892E+04
   0.475882E-03   0.238365E+04
   0.485496E-03   0.242921E+04
   0.495303E-03   0.247563E+04
   0.505309E-03   0.252290E+04
   0.515517E-03   0.257105E+04
   0.525931E-03   0.262010E+04
   0.536556E-03   0.267005E+04
   0.547395E-03   0.272092E+04
   0.558453E-03   0.277273E+04
   0.569734E-03   0.282550E+04
   0.581244E-03   0.287923E+04
   0.592986E-03   0.293395E+04
   0.604965E-03   0.298967E+04
   0.617186E-03   0.304641E+04
   0.629654E-03   0.310419E+04
   0.642374E-03   0.316301E+04
   0.655350E-03   0.322291E+04
   0.668589E-03   0.328389E+04
   0.682096E-03   0.334598E+04
   0.695875E-03   0.340919E+04
   0.709933E-03   0.347354E+04
   0.724274E-03   0.353904E+04
   0.738906E-03   0.360572E+04
   0.753832E-03   0.367360E+04
   0.769061E-03   0.374268E+04
   0.784597E-03   0.381300E+04
   0.800447E-03   0.388456E+04
   0.816617E-03   0.395740E+04
   0.833114E-03   0.403152E+04
   0.849944E-03   0.410695E+04
   0.867114E-03   0.418370E+04
   0.884631E-03   0.426180E+04
   0.902501E-03   0.434126E+04
   0.920733E-03   0.442211E+04
   0.939333E-03   0.450436E+04
   0.958309E-03   0.458804E+04
   0.977668E-03   0.467316E+04
   0.997418E-03   0.475974E+04
   0.101757E-02   0.484781E+04
   0.103812E-02   0.493738E+04
   0.105910E-02   0.502847E+04
   0.108049E-02   0.512110E+04
   0.110232E-02   0.521530E+04
   0.112459E-02   0.531108E+04
   0.114730E-02   0.540846E+04
   0.117048E-02   0.550747E+04
   0.119413E-02   0.560811E+04
   0.121825E-02   0.571042E+04
   0.124286E-02   0.581441E+04
   0.126797E-02   0.592010E+04
   0.129358E-02   0.602750E+04
   0.131971E-02   0.613665E+04
   0.134637E-02   0.624755E+04
   0.137357E-02   0.636023E+04
   0.140132E-02   0.647470E+04
   0.142963E-02   0.659098E+04
   0.145851E-02   0.670909E+04
   0.148797E-02   0.682904E+04
   0.151803E-02   0.695086E+04
   0.154870E-02   0.707456E+04
   0.157998E-02   0.720015E+04
   0.161190E-02   0.732765E+04
   0.164446E-02   0.745709E+04
   0.167768E-02   0.758846E+04
   0.171158E-02   0.772178E+04
   0.174615E-02   0.785708E+04
   0.178143E-02   0.799435E+04
   0.181741E-02   0.813362E+04
   0.185413E-02   0.827489E+04
   0.189158E-02   0.841818E+04
   0.192980E-02   0.856350E+04
   0.196878E-02   0.871084E+04
   0.200855E-02   0.886023E+04
   0.204913E-02   0.901166E+04
   0.209052E-02   0.916515E+04
   0.213276E-02   0.932070E+04
   0.217584E-02   0.947832E+04
   0.221979E-02   0.963800E+04
   0.226464E-02   0.979975E+04
   0.231039E-02   0.996356E+04
   0.235706E-02   0.101294E+05
   0.240467E-02   0.102974E+05
   0.245325E-02   0.104674E+05
   0.250281E-02   0.106395E+05
   0.255337E-02   0.108136E+05
   0.260495E-02   0.109898E+05
   0.265758E-02   0.111680E+05
   0.271126E-02   0.113482E+05
   0.276603E-02   0.115304E+05
   0.282191E-02   0.117146E+05
   0.287892E-02   0.119009E+05
   0.293708E-02   0.120890E+05
   0.299641E-02   0.122791E+05
   0.305694E-02   0.124711E+05
   0.311870E-02   0.126651E+05
   0.318170E-02   0.128608E+05
   0.324597E-02   0.130584E+05
   0.331155E-02   0.132579E+05
   0.337844E-02   0.134591E+05
   0.344669E-02   0.136620E+05
   0.351632E-02   0.138666E+05
   0.358735E-02   0.140729E+05
   0.365982E-02   0.142808E+05
   0.373376E-02   0.144903E+05
   0.380918E-02   0.147012E+05
   0.388613E-02   0.149137E+05
   0.396464E-02   0.151275E+05
   0.404473E-02   0.153427E+05
   0.412644E-02   0.155592E+05
   0.420980E-02   0.157769E+05
   0.429484E-02   0.159958E+05
   0.438160E-02   0.162157E+05
   0.447012E-02   0.164367E+05
   0.456042E-02   0.166586E+05
   0.465255E-02   0.168813E+05
   0.474653E-02   0.171048E+05
   0.484242E-02   0.173290E+05
   0.494024E-02   0.175538E+05
   0.504004E-02   0.177791E+05
   0.514186E-02   0.180047E+05
   0.524573E-02   0.182306E+05
   0.535170E-02   0.184568E+05
   0.545981E-02   0.186829E+05
   0.557011E-02   0.189091E+05
   0.568263E-02   0.191350E+05
   0.579743E-02   0.193607E+05
   0.591455E-02   0.195860E+05
   0.603403E-02   0.198107E+05
   0.615592E-02   0.200347E+05
   0.628028E-02   0.202579E+05
   0.640715E-02   0.204801E+05
   0.653658E-02   0.207012E+05
   0.666863E-02   0.209211E+05
   0.680335E-02   0.211395E+05
   0.694078E-02   0.213562E+05
   0.708100E-02   0.215713E+05
   0.722404E-02   0.217844E+05
   0.736998E-02   0.219953E+05
   0.751886E-02   0.222040E+05
   0.767075E-02   0.224102E+05
   0.782571E-02   0.226137E+05
   0.798380E-02   0.228144E+05
   0.814509E-02   0.230120E+05
   0.830963E-02   0.232063E+05
   0.847750E-02   0.233971E+05
   0.864875E-02   0.235842E+05
   0.882347E-02   0.237675E+05
   0.900171E-02   0.239466E+05
   0.918356E-02   0.241214E+05
   0.936908E-02   0.242915E+05
   0.955835E-02   0.244568E+05
   0.975144E-02   0.246171E+05
   0.994843E-02   0.247721E+05
   0.101494E-01   0.249215E+05
   0.103544E-01   0.250652E+05
   0.105636E-01   0.252028E+05
   0.107770E-01   0.253342E+05
   0.109947E-01   0.254590E+05
   0.112168E-01   0.255770E+05
   0.114434E-01   0.256878E+05
   0.116746E-01   0.257911E+05
   0.119104E-01   0.258867E+05
   0.121510E-01   0.259744E+05
   0.123965E-01   0.260542E+05
   0.126469E-01   0.261258E+05
   0.129024E-01   0.261893E+05
