#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113326E+04   0.340474E+01   0.340567E-02   0.340474E+01   0.548408E-01  -0.163498E-04   0.340567E-02  -0.163498E-04   0.479917E-07
     3   0.105360E+04   0.424095E+01   0.338042E-02   0.424095E+01   0.881449E-01  -0.198299E-04   0.338042E-02  -0.198299E-04   0.582383E-07
     4   0.979944E+03   0.433418E+01   0.328545E-02   0.433418E+01   0.974752E-01  -0.197505E-04   0.328545E-02  -0.197505E-04   0.669457E-07
     5   0.923299E+03   0.399361E+01   0.316505E-02   0.399361E+01   0.850081E-01  -0.171559E-04   0.316505E-02  -0.171559E-04   0.744606E-07
     6   0.882227E+03   0.345495E+01   0.303790E-02   0.345495E+01   0.617157E-01  -0.130333E-04   0.303790E-02  -0.130333E-04   0.809772E-07
     7   0.853652E+03   0.286424E+01   0.291270E-02   0.286424E+01   0.386368E-01  -0.830037E-05   0.291270E-02  -0.830037E-05   0.866768E-07
     8   0.834192E+03   0.231302E+01   0.278884E-02   0.231302E+01   0.220741E-01  -0.371404E-05   0.278884E-02  -0.371404E-05   0.916897E-07
     9   0.821779E+03   0.184589E+01   0.266634E-02   0.184589E+01   0.130800E-01   0.123164E-06   0.266634E-02   0.123164E-06   0.961241E-07
    10   0.814970E+03   0.148212E+01   0.254907E-02   0.148212E+01   0.950269E-02   0.279579E-05   0.254907E-02   0.279579E-05   0.100047E-06
    11   0.812185E+03   0.122805E+01   0.244208E-02   0.122805E+01   0.844024E-02   0.417413E-05   0.244208E-02   0.417413E-05   0.103549E-06
    12   0.813344E+03   0.108187E+01   0.234485E-02   0.108187E+01   0.789570E-02   0.442232E-05   0.234485E-02   0.442232E-05   0.106656E-06
    13   0.816661E+03   0.102269E+01   0.225575E-02   0.102269E+01   0.702420E-02   0.382693E-05   0.225575E-02   0.382693E-05   0.109410E-06
    14   0.821248E+03   0.102401E+01   0.217326E-02   0.102401E+01   0.603810E-02   0.267951E-05   0.217326E-02   0.267951E-05   0.111864E-06
    15   0.827395E+03   0.106289E+01   0.209579E-02   0.106289E+01   0.525348E-02   0.122590E-05   0.209579E-02   0.122590E-05   0.114046E-06
    16   0.835479E+03   0.111978E+01   0.202206E-02   0.111978E+01   0.489974E-02  -0.283006E-06   0.202206E-02  -0.283006E-06   0.115983E-06
    17   0.845363E+03   0.118202E+01   0.195184E-02   0.118202E+01   0.497632E-02  -0.153036E-05   0.195184E-02  -0.153036E-05   0.117701E-06
    18   0.856053E+03   0.124153E+01   0.188516E-02   0.124153E+01   0.523925E-02  -0.225489E-05   0.188516E-02  -0.225489E-05   0.119225E-06
    19   0.868401E+03   0.129492E+01   0.182194E-02   0.129492E+01   0.554938E-02  -0.248362E-05   0.182194E-02  -0.248362E-05   0.120567E-06
    20   0.880767E+03   0.133784E+01   0.176206E-02   0.133784E+01   0.587653E-02  -0.232981E-05   0.176206E-02  -0.232981E-05   0.121736E-06
    21   0.893492E+03   0.137167E+01   0.170522E-02   0.137167E+01   0.625440E-02  -0.196343E-05   0.170522E-02  -0.196343E-05   0.122753E-06
    22   0.906833E+03   0.139895E+01   0.165106E-02   0.139895E+01   0.680693E-02  -0.153566E-05   0.165106E-02  -0.153566E-05   0.123637E-06
    23   0.920576E+03   0.142604E+01   0.159926E-02   0.142604E+01   0.759581E-02  -0.106582E-05   0.159926E-02  -0.106582E-05   0.124397E-06
    24   0.934762E+03   0.145853E+01   0.154960E-02   0.145853E+01   0.862415E-02  -0.566581E-06   0.154960E-02  -0.566581E-06   0.125041E-06
    25   0.949371E+03   0.149524E+01   0.150233E-02   0.149524E+01   0.989422E-02  -0.155751E-06   0.150233E-02  -0.155751E-06   0.125578E-06
    26   0.964251E+03   0.153514E+01   0.145774E-02   0.153514E+01   0.113687E-01   0.453597E-07   0.145774E-02   0.453597E-07   0.126020E-06
    27   0.979610E+03   0.157738E+01   0.141573E-02   0.157738E+01   0.130170E-01   0.663479E-08   0.141573E-02   0.663479E-08   0.126375E-06
    28   0.995262E+03   0.162153E+01   0.137602E-02   0.162153E+01   0.148362E-01  -0.248407E-06   0.137602E-02  -0.248407E-06   0.126650E-06
    29   0.101124E+04   0.166353E+01   0.133812E-02   0.166353E+01   0.168129E-01  -0.572906E-06   0.133812E-02  -0.572906E-06   0.126845E-06
    30   0.102746E+04   0.169815E+01   0.130159E-02   0.169815E+01   0.189448E-01  -0.819543E-06   0.130159E-02  -0.819543E-06   0.126961E-06
    31   0.104383E+04   0.172541E+01   0.126662E-02   0.172541E+01   0.212460E-01  -0.962483E-06   0.126662E-02  -0.962483E-06   0.127009E-06
    32   0.106061E+04   0.174570E+01   0.123344E-02   0.174570E+01   0.237174E-01  -0.101672E-05   0.123344E-02  -0.101672E-05   0.126999E-06
