#    L    TT             EE             TE             PP             TP          
     2   0.113326E+04   0.548408E-01   0.340474E+01   0.995534E+06   0.317462E+05
     3   0.105360E+04   0.881449E-01   0.424095E+01   0.152899E+07   0.376001E+05
     4   0.979944E+03   0.974752E-01   0.433418E+01   0.199975E+07   0.402583E+05
     5   0.923299E+03   0.850081E-01   0.399361E+01   0.241344E+07   0.412320E+05
     6   0.882227E+03   0.617157E-01   0.345495E+01   0.277678E+07   0.412838E+05
     7   0.853652E+03   0.386368E-01   0.286424E+01   0.309736E+07   0.408257E+05
     8   0.834191E+03   0.220741E-01   0.231302E+01   0.338133E+07   0.400241E+05
     9   0.821778E+03   0.130800E-01   0.184589E+01   0.363404E+07   0.389857E+05
    10   0.814970E+03   0.950269E-02   0.148212E+01   0.385914E+07   0.378373E+05
    11   0.812185E+03   0.844024E-02   0.122805E+01   0.406109E+07   0.367031E+05
    12   0.813343E+03   0.789570E-02   0.108187E+01   0.424162E+07   0.356126E+05
    13   0.816660E+03   0.702420E-02   0.102269E+01   0.440313E+07   0.345653E+05
    14   0.821247E+03   0.603810E-02   0.102401E+01   0.454816E+07   0.335578E+05
    15   0.827393E+03   0.525348E-02   0.106289E+01   0.467838E+07   0.325785E+05
    16   0.835478E+03   0.489974E-02   0.111978E+01   0.479520E+07   0.316175E+05
    17   0.845361E+03   0.497632E-02   0.118202E+01   0.490009E+07   0.306786E+05
    18   0.856051E+03   0.523925E-02   0.124153E+01   0.499435E+07   0.297682E+05
    19   0.868399E+03   0.554938E-02   0.129492E+01   0.507866E+07   0.288899E+05
    20   0.880764E+03   0.587653E-02   0.133784E+01   0.515363E+07   0.280456E+05
    21   0.893489E+03   0.625440E-02   0.137167E+01   0.522031E+07   0.272333E+05
    22   0.906830E+03   0.680693E-02   0.139895E+01   0.527971E+07   0.264504E+05
    23   0.920573E+03   0.759581E-02   0.142604E+01   0.533232E+07   0.256933E+05
    24   0.934759E+03   0.862415E-02   0.145853E+01   0.537857E+07   0.249604E+05
    25   0.949368E+03   0.989422E-02   0.149524E+01   0.541900E+07   0.242573E+05
    26   0.964247E+03   0.113687E-01   0.153514E+01   0.545419E+07   0.235897E+05
    27   0.979606E+03   0.130170E-01   0.157738E+01   0.548460E+07   0.229570E+05
    28   0.995257E+03   0.148362E-01   0.162153E+01   0.551058E+07   0.223559E+05
    29   0.101124E+04   0.168129E-01   0.166353E+01   0.553220E+07   0.217789E+05
    30   0.102746E+04   0.189448E-01   0.169815E+01   0.554960E+07   0.212197E+05
    31   0.104382E+04   0.212460E-01   0.172541E+01   0.556326E+07   0.206818E+05
    32   0.106061E+04   0.237174E-01   0.174570E+01   0.557373E+07   0.201696E+05
    33   0.107781E+04   0.263407E-01   0.175568E+01   0.558120E+07   0.196807E+05
    34   0.109524E+04   0.291133E-01   0.175276E+01   0.558583E+07   0.192104E+05
    35   0.111286E+04   0.320679E-01   0.173782E+01   0.558781E+07   0.187506E+05
    36   0.113062E+04   0.352447E-01   0.171184E+01   0.558734E+07   0.182956E+05
    37   0.114849E+04   0.386472E-01   0.167631E+01   0.558462E+07   0.178517E+05
    38   0.116677E+04   0.422763E-01   0.163426E+01   0.557981E+07   0.174268E+05
    39   0.118545E+04   0.461311E-01   0.158542E+01   0.557302E+07   0.170222E+05
    40   0.120426E+04   0.502160E-01   0.152850E+01   0.556436E+07   0.166378E+05
    41   0.122333E+04   0.545399E-01   0.146211E+01   0.555394E+07   0.162728E+05
    42   0.124243E+04   0.591093E-01   0.138525E+01   0.554187E+07   0.159248E+05
    43   0.126170E+04   0.639300E-01   0.129701E+01   0.552827E+07   0.155906E+05
    44   0.128097E+04   0.689933E-01   0.119741E+01   0.551326E+07   0.152672E+05
    45   0.130061E+04   0.743004E-01   0.108651E+01   0.549696E+07   0.149514E+05
    46   0.132053E+04   0.798544E-01   0.962538E+00   0.547948E+07   0.146409E+05
    47   0.134061E+04   0.856520E-01   0.826163E+00   0.546089E+07   0.143362E+05
    48   0.136078E+04   0.916952E-01   0.681330E+00   0.544129E+07   0.140384E+05
    49   0.138113E+04   0.979637E-01   0.531388E+00   0.542075E+07   0.137487E+05
    50   0.140190E+04   0.104430E+00   0.372904E+00   0.539935E+07   0.134683E+05
    51   0.142288E+04   0.111064E+00   0.201155E+00   0.537716E+07   0.131979E+05
    52   0.144426E+04   0.117953E+00   0.118812E-01   0.535424E+07   0.129366E+05
    53   0.146566E+04   0.125252E+00  -0.197208E+00   0.533063E+07   0.126833E+05
    54   0.148698E+04   0.132957E+00  -0.420436E+00   0.530639E+07   0.124366E+05
    55   0.150843E+04   0.141049E+00  -0.652010E+00   0.528156E+07   0.121952E+05
    56   0.153020E+04   0.149389E+00  -0.892651E+00   0.525619E+07   0.119585E+05
    57   0.155225E+04   0.157865E+00  -0.114282E+01   0.523032E+07   0.117275E+05
    58   0.157459E+04   0.166483E+00  -0.140415E+01   0.520398E+07   0.115042E+05
    59   0.159710E+04   0.175278E+00  -0.167828E+01   0.517718E+07   0.112902E+05
    60   0.161980E+04   0.184297E+00  -0.196544E+01   0.514996E+07   0.110873E+05
    61   0.164301E+04   0.193633E+00  -0.226547E+01   0.512236E+07   0.108966E+05
    62   0.166612E+04   0.203275E+00  -0.257908E+01   0.509441E+07   0.107160E+05
