#    L    TT             EE             BB             TE          
     2   0.113327E+04   0.548420E-01   0.125286E-05   0.340474E+01
     3   0.105361E+04   0.881474E-01   0.250625E-05   0.424095E+01
     4   0.979963E+03   0.974794E-01   0.417827E-05   0.433418E+01
     5   0.923324E+03   0.850144E-01   0.626961E-05   0.399361E+01
     6   0.882259E+03   0.617245E-01   0.878116E-05   0.345495E+01
     7   0.853692E+03   0.386485E-01   0.117139E-04   0.286424E+01
     8   0.834240E+03   0.220892E-01   0.150690E-04   0.231302E+01
     9   0.821837E+03   0.130988E-01   0.188479E-04   0.184588E+01
    10   0.815039E+03   0.952574E-02   0.230518E-04   0.148212E+01
    11   0.812267E+03   0.846792E-02   0.276823E-04   0.122803E+01
    12   0.813438E+03   0.792844E-02   0.327412E-04   0.108185E+01
    13   0.816768E+03   0.706243E-02   0.382300E-04   0.102267E+01
    14   0.821370E+03   0.608225E-02   0.441505E-04   0.102398E+01
    15   0.827531E+03   0.530397E-02   0.505047E-04   0.106285E+01
    16   0.835631E+03   0.495701E-02   0.572944E-04   0.111973E+01
    17   0.845532E+03   0.504080E-02   0.645213E-04   0.118195E+01
    18   0.856237E+03   0.531138E-02   0.721875E-04   0.124144E+01
    19   0.868603E+03   0.562959E-02   0.802948E-04   0.129481E+01
    20   0.880986E+03   0.596527E-02   0.888450E-04   0.133771E+01
    21   0.893728E+03   0.635212E-02   0.978400E-04   0.137151E+01
    22   0.907088E+03   0.691406E-02   0.107281E-03   0.139877E+01
    23   0.920849E+03   0.771279E-02   0.117171E-03   0.142582E+01
    24   0.935054E+03   0.875143E-02   0.127510E-03   0.145827E+01
    25   0.949682E+03   0.100322E-01   0.138300E-03   0.149494E+01
    26   0.964581E+03   0.115179E-01   0.149543E-03   0.153480E+01
    27   0.979959E+03   0.131778E-01   0.161239E-03   0.157698E+01
    28   0.995630E+03   0.150091E-01   0.173390E-03   0.162109E+01
    29   0.101163E+04   0.169983E-01   0.185996E-03   0.166303E+01
    30   0.102787E+04   0.191431E-01   0.199059E-03   0.169759E+01
    31   0.104425E+04   0.214577E-01   0.212579E-03   0.172479E+01
    32   0.106106E+04   0.239430E-01   0.226557E-03   0.174501E+01
    33   0.107828E+04   0.265805E-01   0.240992E-03   0.175493E+01
    34   0.109573E+04   0.293678E-01   0.255886E-03   0.175193E+01
    35   0.111338E+04   0.323375E-01   0.271237E-03   0.173693E+01
    36   0.113115E+04   0.355299E-01   0.287046E-03   0.171087E+01
    37   0.114904E+04   0.389483E-01   0.303313E-03   0.167527E+01
    38   0.116734E+04   0.425938E-01   0.320036E-03   0.163313E+01
    39   0.118604E+04   0.464654E-01   0.337217E-03   0.158421E+01
    40   0.120487E+04   0.505675E-01   0.354853E-03   0.152720E+01
    41   0.122397E+04   0.549089E-01   0.372944E-03   0.146073E+01
    42   0.124309E+04   0.594962E-01   0.391489E-03   0.138377E+01
    43   0.126237E+04   0.643353E-01   0.410488E-03   0.129545E+01
    44   0.128166E+04   0.694173E-01   0.429938E-03   0.119575E+01
    45   0.130132E+04   0.747435E-01   0.449840E-03   0.108476E+01
    46   0.132127E+04   0.803170E-01   0.470191E-03   0.960692E+00
    47   0.134136E+04   0.861344E-01   0.490991E-03   0.824224E+00
