#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113326E+04   0.548408E-01   0.000000E+00   0.340474E+01   0.479951E-07   0.340573E-02  -0.163499E-04
     3   0.105361E+04   0.881449E-01   0.000000E+00   0.424095E+01   0.582432E-07   0.338051E-02  -0.198300E-04
     4   0.979954E+03   0.974752E-01   0.000000E+00   0.433418E+01   0.669520E-07   0.328556E-02  -0.197507E-04
     5   0.923310E+03   0.850081E-01   0.000000E+00   0.399361E+01   0.744683E-07   0.316518E-02  -0.171562E-04
     6   0.882240E+03   0.617157E-01   0.000000E+00   0.345495E+01   0.809863E-07   0.303805E-02  -0.130336E-04
     7   0.853666E+03   0.386368E-01   0.000000E+00   0.286424E+01   0.866874E-07   0.291287E-02  -0.830070E-05
     8   0.834207E+03   0.220741E-01   0.000000E+00   0.231302E+01   0.917018E-07   0.278903E-02  -0.371444E-05
     9   0.821796E+03   0.130800E-01   0.000000E+00   0.184589E+01   0.961376E-07   0.266654E-02   0.122716E-06
    10   0.814989E+03   0.950269E-02   0.000000E+00   0.148212E+01   0.100062E-06   0.254928E-02   0.279530E-05
    11   0.812206E+03   0.844024E-02   0.000000E+00   0.122805E+01   0.103566E-06   0.244230E-02   0.417363E-05
    12   0.813367E+03   0.789571E-02   0.000000E+00   0.108187E+01   0.106674E-06   0.234512E-02   0.442049E-05
    13   0.816686E+03   0.702420E-02   0.000000E+00   0.102269E+01   0.109430E-06   0.225601E-02   0.382636E-05
    14   0.821275E+03   0.603810E-02   0.000000E+00   0.102401E+01   0.111885E-06   0.217353E-02   0.267897E-05
    15   0.827424E+03   0.525347E-02   0.000000E+00   0.106288E+01   0.114069E-06   0.209607E-02   0.122525E-05
    16   0.835510E+03   0.489973E-02   0.000000E+00   0.111977E+01   0.116007E-06   0.202236E-02  -0.284245E-06
    17   0.845396E+03   0.497630E-02   0.000000E+00   0.118201E+01   0.117726E-06   0.195215E-02  -0.153104E-05
    18   0.856087E+03   0.523922E-02   0.000000E+00   0.124152E+01   0.119253E-06   0.188548E-02  -0.225521E-05
    19   0.868436E+03   0.554934E-02   0.000000E+00   0.129491E+01   0.120596E-06   0.182228E-02  -0.248435E-05
    20   0.880803E+03   0.587649E-02   0.000000E+00   0.133782E+01   0.121766E-06   0.176241E-02  -0.233042E-05
    21   0.893528E+03   0.625436E-02   0.000000E+00   0.137164E+01   0.122784E-06   0.170557E-02  -0.196425E-05
    22   0.906870E+03   0.680688E-02   0.000000E+00   0.139892E+01   0.123670E-06   0.165143E-02  -0.153667E-05
    23   0.920613E+03   0.759575E-02   0.000000E+00   0.142600E+01   0.124432E-06   0.159964E-02  -0.106678E-05
    24   0.934800E+03   0.862410E-02   0.000000E+00   0.145849E+01   0.125077E-06   0.154999E-02  -0.567474E-06
    25   0.949408E+03   0.989416E-02   0.000000E+00   0.149519E+01   0.125616E-06   0.150273E-02  -0.156881E-06
    26   0.964288E+03   0.113686E-01   0.000000E+00   0.153508E+01   0.126060E-06   0.145815E-02   0.441410E-07
    27   0.979645E+03   0.130169E-01   0.000000E+00   0.157731E+01   0.126416E-06   0.141615E-02   0.538309E-08
    28   0.995296E+03   0.148361E-01   0.000000E+00   0.162146E+01   0.126693E-06   0.137646E-02  -0.249818E-06
