#    L    TT             EE             TE             PP             TP          
     2   0.113326E+04   0.548408E-01   0.340474E+01   0.995604E+06   0.317468E+05
     3   0.105361E+04   0.881449E-01   0.424095E+01   0.152912E+07   0.376011E+05
     4   0.979954E+03   0.974752E-01   0.433418E+01   0.199993E+07   0.402597E+05
     5   0.923310E+03   0.850081E-01   0.399361E+01   0.241369E+07   0.412337E+05
     6   0.882240E+03   0.617157E-01   0.345495E+01   0.277709E+07   0.412858E+05
     7   0.853666E+03   0.386368E-01   0.286424E+01   0.309774E+07   0.408281E+05
     8   0.834207E+03   0.220741E-01   0.231302E+01   0.338178E+07   0.400267E+05
     9   0.821796E+03   0.130800E-01   0.184589E+01   0.363455E+07   0.389886E+05
    10   0.814989E+03   0.950269E-02   0.148212E+01   0.385971E+07   0.378404E+05
    11   0.812206E+03   0.844024E-02   0.122805E+01   0.406174E+07   0.367065E+05
    12   0.813367E+03   0.789571E-02   0.108187E+01   0.424234E+07   0.356163E+05
    13   0.816686E+03   0.702420E-02   0.102269E+01   0.440391E+07   0.345693E+05
    14   0.821275E+03   0.603810E-02   0.102401E+01   0.454901E+07   0.335619E+05
    15   0.827424E+03   0.525347E-02   0.106288E+01   0.467930E+07   0.325829E+05
    16   0.835510E+03   0.489973E-02   0.111977E+01   0.479620E+07   0.316221E+05
    17   0.845396E+03   0.497630E-02   0.118201E+01   0.490116E+07   0.306835E+05
    18   0.856087E+03   0.523922E-02   0.124152E+01   0.499549E+07   0.297733E+05
    19   0.868436E+03   0.554934E-02   0.129491E+01   0.507987E+07   0.288952E+05
    20   0.880803E+03   0.587649E-02   0.133782E+01   0.515491E+07   0.280510E+05
    21   0.893528E+03   0.625436E-02   0.137164E+01   0.522166E+07   0.272390E+05
    22   0.906870E+03   0.680688E-02   0.139892E+01   0.528113E+07   0.264563E+05
    23   0.920613E+03   0.759575E-02   0.142600E+01   0.533382E+07   0.256995E+05
    24   0.934800E+03   0.862410E-02   0.145849E+01   0.538013E+07   0.249667E+05
    25   0.949408E+03   0.989416E-02   0.149519E+01   0.542064E+07   0.242637E+05
    26   0.964288E+03   0.113686E-01   0.153508E+01   0.545591E+07   0.235963E+05
    27   0.979645E+03   0.130169E-01   0.157731E+01   0.548639E+07   0.229638E+05
    28   0.995296E+03   0.148361E-01   0.162146E+01   0.551244E+07   0.223629E+05
    29   0.101128E+04   0.168128E-01   0.166345E+01   0.553414E+07   0.217861E+05
    30   0.102749E+04   0.189447E-01   0.169806E+01   0.555161E+07   0.212270E+05
    31   0.104385E+04   0.212459E-01   0.172532E+01   0.556535E+07   0.206893E+05
    32   0.106064E+04   0.237174E-01   0.174560E+01   0.557588E+07   0.201773E+05
    33   0.107784E+04   0.263407E-01   0.175558E+01   0.558343E+07   0.196886E+05
    34   0.109527E+04   0.291133E-01   0.175265E+01   0.558813E+07   0.192184E+05
    35   0.111289E+04   0.320678E-01   0.173771E+01   0.559018E+07   0.187587E+05
    36   0.113064E+04   0.352447E-01   0.171173E+01   0.558979E+07   0.183039E+05
    37   0.114851E+04   0.386472E-01   0.167620E+01   0.558715E+07   0.178602E+05
    38   0.116678E+04   0.422763E-01   0.163415E+01   0.558241E+07   0.174354E+05
    39   0.118545E+04   0.461311E-01   0.158531E+01   0.557569E+07   0.170310E+05
    40   0.120426E+04   0.502161E-01   0.152839E+01   0.556710E+07   0.166467E+05
    41   0.122333E+04   0.545399E-01   0.146200E+01   0.555675E+07   0.162819E+05
    42   0.124242E+04   0.591093E-01   0.138514E+01   0.554476E+07   0.159340E+05
    43   0.126168E+04   0.639301E-01   0.129691E+01   0.553123E+07   0.155999E+05
    44   0.128095E+04   0.689933E-01   0.119731E+01   0.551629E+07   0.152765E+05
    45   0.130058E+04   0.743004E-01   0.108641E+01   0.550006E+07   0.149608E+05
    46   0.132050E+04   0.798544E-01   0.962446E+00   0.548265E+07   0.146504E+05
    47   0.134057E+04   0.856521E-01   0.826077E+00   0.546414E+07   0.143458E+05
    48   0.136074E+04   0.916953E-01   0.681251E+00   0.544461E+07   0.140481E+05
    49   0.138108E+04   0.979638E-01   0.531317E+00   0.542414E+07   0.137585E+05
    50   0.140184E+04   0.104430E+00   0.372843E+00   0.540281E+07   0.134782E+05
    51   0.142281E+04   0.111064E+00   0.201105E+00   0.538069E+07   0.132079E+05
    52   0.144419E+04   0.117953E+00   0.118439E-01   0.535783E+07   0.129468E+05
    53   0.146558E+04   0.125252E+00  -0.197230E+00   0.533429E+07   0.126935E+05
    54   0.148690E+04   0.132957E+00  -0.420441E+00   0.531012E+07   0.124469E+05
    55   0.150833E+04   0.141049E+00  -0.651996E+00   0.528536E+07   0.122056E+05
    56   0.153010E+04   0.149389E+00  -0.892616E+00   0.526006E+07   0.119689E+05
    57   0.155215E+04   0.157865E+00  -0.114276E+01   0.523426E+07   0.117381E+05
    58   0.157448E+04   0.166483E+00  -0.140406E+01   0.520798E+07   0.115148E+05
    59   0.159699E+04   0.175278E+00  -0.167817E+01   0.518125E+07   0.113009E+05
    60   0.161969E+04   0.184297E+00  -0.196530E+01   0.515410E+07   0.110981E+05
