#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113326E+04   0.340474E+01   0.340573E-02   0.340474E+01   0.548408E-01  -0.163499E-04   0.340573E-02  -0.163499E-04   0.479951E-07
     3   0.105361E+04   0.424095E+01   0.338051E-02   0.424095E+01   0.881449E-01  -0.198300E-04   0.338051E-02  -0.198300E-04   0.582432E-07
     4   0.979954E+03   0.433418E+01   0.328556E-02   0.433418E+01   0.974752E-01  -0.197507E-04   0.328556E-02  -0.197507E-04   0.669520E-07
     5   0.923310E+03   0.399361E+01   0.316518E-02   0.399361E+01   0.850081E-01  -0.171562E-04   0.316518E-02  -0.171562E-04   0.744683E-07
     6   0.882240E+03   0.345495E+01   0.303805E-02   0.345495E+01   0.617157E-01  -0.130336E-04   0.303805E-02  -0.130336E-04   0.809863E-07
     7   0.853666E+03   0.286424E+01   0.291287E-02   0.286424E+01   0.386368E-01  -0.830070E-05   0.291287E-02  -0.830070E-05   0.866874E-07
     8   0.834207E+03   0.231302E+01   0.278903E-02   0.231302E+01   0.220741E-01  -0.371444E-05   0.278903E-02  -0.371444E-05   0.917018E-07
     9   0.821796E+03   0.184589E+01   0.266654E-02   0.184589E+01   0.130800E-01   0.122716E-06   0.266654E-02   0.122716E-06   0.961376E-07
    10   0.814989E+03   0.148212E+01   0.254928E-02   0.148212E+01   0.950269E-02   0.279530E-05   0.254928E-02   0.279530E-05   0.100062E-06
    11   0.812206E+03   0.122805E+01   0.244230E-02   0.122805E+01   0.844024E-02   0.417363E-05   0.244230E-02   0.417363E-05   0.103566E-06
    12   0.813367E+03   0.108187E+01   0.234509E-02   0.108187E+01   0.789571E-02   0.442179E-05   0.234509E-02   0.442179E-05   0.106674E-06
    13   0.816686E+03   0.102269E+01   0.225601E-02   0.102269E+01   0.702420E-02   0.382636E-05   0.225601E-02   0.382636E-05   0.109430E-06
    14   0.821275E+03   0.102401E+01   0.217352E-02   0.102401E+01   0.603810E-02   0.267889E-05   0.217352E-02   0.267889E-05   0.111885E-06
    15   0.827424E+03   0.106288E+01   0.209607E-02   0.106288E+01   0.525347E-02   0.122525E-05   0.209607E-02   0.122525E-05   0.114069E-06
    16   0.835510E+03   0.111977E+01   0.202236E-02   0.111977E+01   0.489973E-02  -0.283677E-06   0.202236E-02  -0.283677E-06   0.116007E-06
    17   0.845396E+03   0.118201E+01   0.195215E-02   0.118201E+01   0.497630E-02  -0.153104E-05   0.195215E-02  -0.153104E-05   0.117726E-06
    18   0.856087E+03   0.124152E+01   0.188548E-02   0.124152E+01   0.523922E-02  -0.225559E-05   0.188548E-02  -0.225559E-05   0.119253E-06
    19   0.868436E+03   0.129491E+01   0.182228E-02   0.129491E+01   0.554934E-02  -0.248435E-05   0.182228E-02  -0.248435E-05   0.120596E-06
    20   0.880803E+03   0.133782E+01   0.176240E-02   0.133782E+01   0.587649E-02  -0.233058E-05   0.176240E-02  -0.233058E-05   0.121766E-06
    21   0.893528E+03   0.137164E+01   0.170557E-02   0.137164E+01   0.625436E-02  -0.196425E-05   0.170557E-02  -0.196425E-05   0.122784E-06
    22   0.906870E+03   0.139892E+01   0.165143E-02   0.139892E+01   0.680688E-02  -0.153654E-05   0.165143E-02  -0.153654E-05   0.123670E-06
    23   0.920613E+03   0.142600E+01   0.159964E-02   0.142600E+01   0.759575E-02  -0.106678E-05   0.159964E-02  -0.106678E-05   0.124432E-06
    24   0.934800E+03   0.145849E+01   0.154999E-02   0.145849E+01   0.862410E-02  -0.567623E-06   0.154999E-02  -0.567623E-06   0.125077E-06
    25   0.949408E+03   0.149519E+01   0.150273E-02   0.149519E+01   0.989416E-02  -0.156881E-06   0.150273E-02  -0.156881E-06   0.125616E-06
    26   0.964288E+03   0.153508E+01   0.145815E-02   0.153508E+01   0.113686E-01   0.441601E-07   0.145815E-02   0.441601E-07   0.126060E-06
    27   0.979645E+03   0.157731E+01   0.141615E-02   0.157731E+01   0.130169E-01   0.538309E-08   0.141615E-02   0.538309E-08   0.126416E-06
    28   0.995296E+03   0.162146E+01   0.137645E-02   0.162146E+01   0.148361E-01  -0.249701E-06   0.137645E-02  -0.249701E-06   0.126693E-06
    29   0.101128E+04   0.166345E+01   0.133856E-02   0.166345E+01   0.168128E-01  -0.574249E-06   0.133856E-02  -0.574249E-06   0.126889E-06
    30   0.102749E+04   0.169806E+01   0.130204E-02   0.169806E+01   0.189447E-01  -0.820952E-06   0.130204E-02  -0.820952E-06   0.127007E-06
    31   0.104385E+04   0.172532E+01   0.126708E-02   0.172532E+01   0.212459E-01  -0.963959E-06   0.126708E-02  -0.963959E-06   0.127056E-06
    32   0.106064E+04   0.174560E+01   0.123391E-02   0.174560E+01   0.237174E-01  -0.101824E-05   0.123391E-02  -0.101824E-05   0.127048E-06
    33   0.107784E+04   0.175558E+01   0.120236E-02   0.175558E+01   0.263407E-01  -0.104060E-05   0.120236E-02  -0.104060E-05   0.126987E-06
    34   0.109527E+04   0.175265E+01   0.117213E-02   0.175265E+01   0.291133E-01  -0.107740E-05   0.117213E-02  -0.107740E-05   0.126874E-06
    35   0.111289E+04   0.173771E+01   0.114269E-02   0.173771E+01   0.320678E-01  -0.109149E-05   0.114269E-02  -0.109149E-05   0.126713E-06
    36   0.113064E+04   0.171173E+01   0.111370E-02   0.171173E+01   0.352447E-01  -0.103331E-05   0.111370E-02  -0.103331E-05   0.126509E-06
    37   0.114851E+04   0.167620E+01   0.108551E-02   0.167620E+01   0.386472E-01  -0.887195E-06   0.108551E-02  -0.887195E-06   0.126265E-06
    38   0.116678E+04   0.163415E+01   0.105859E-02   0.163415E+01   0.422763E-01  -0.660297E-06   0.105859E-02  -0.660297E-06   0.125983E-06
    39   0.118545E+04   0.158531E+01   0.103301E-02   0.158531E+01   0.461311E-01  -0.416988E-06   0.103301E-02  -0.416988E-06   0.125666E-06
    40   0.120426E+04   0.152839E+01   0.100876E-02   0.152839E+01   0.502161E-01  -0.235956E-06   0.100876E-02  -0.235956E-06   0.125315E-06
    41   0.122333E+04   0.146200E+01   0.985769E-03   0.146200E+01   0.545399E-01  -0.174941E-06   0.985769E-03  -0.174941E-06   0.124934E-06
    42   0.124242E+04   0.138514E+01   0.963884E-03   0.138514E+01   0.591093E-01  -0.207903E-06   0.963884E-03  -0.207903E-06   0.124523E-06
    43   0.126168E+04   0.129691E+01   0.942908E-03   0.129691E+01   0.639301E-01  -0.287855E-06   0.942908E-03  -0.287855E-06   0.124085E-06
    44   0.128095E+04   0.119731E+01   0.922650E-03   0.119731E+01   0.689933E-01  -0.367811E-06   0.922650E-03  -0.367811E-06   0.123622E-06
    45   0.130058E+04   0.108641E+01   0.902917E-03   0.108641E+01   0.743004E-01  -0.400783E-06   0.902917E-03  -0.400783E-06   0.123136E-06
    46   0.132050E+04   0.962446E+00   0.883559E-03   0.962446E+00   0.798544E-01  -0.354333E-06   0.883559E-03  -0.354333E-06   0.122630E-06
    47   0.134057E+04   0.826077E+00   0.864600E-03   0.826077E+00   0.856521E-01  -0.254209E-06   0.864600E-03  -0.254209E-06   0.122106E-06
    48   0.136074E+04   0.681251E+00   0.846107E-03   0.681251E+00   0.916953E-01  -0.140707E-06   0.846107E-03  -0.140707E-06   0.121564E-06
    49   0.138108E+04   0.531317E+00   0.828147E-03   0.531317E+00   0.979638E-01  -0.541213E-07   0.828147E-03  -0.541213E-07   0.121006E-06
    50   0.140184E+04   0.372843E+00   0.810786E-03   0.372843E+00   0.104430E+00  -0.347489E-07   0.810786E-03  -0.347489E-07   0.120434E-06
    51   0.142281E+04   0.201105E+00   0.794067E-03   0.201105E+00   0.111064E+00  -0.109748E-06   0.794067E-03  -0.109748E-06   0.119848E-06
    52   0.144419E+04   0.118439E-01   0.777935E-03   0.118439E-01   0.117953E+00  -0.253727E-06   0.777935E-03  -0.253727E-06   0.119251E-06
    53   0.146558E+04  -0.197230E+00   0.762312E-03  -0.197230E+00   0.125252E+00  -0.428160E-06   0.762312E-03  -0.428160E-06   0.118642E-06
    54   0.148690E+04  -0.420441E+00   0.747117E-03  -0.420441E+00   0.132957E+00  -0.594518E-06   0.747117E-03  -0.594518E-06   0.118024E-06
    55   0.150833E+04  -0.651996E+00   0.732272E-03  -0.651996E+00   0.141049E+00  -0.714274E-06   0.732272E-03  -0.714274E-06   0.117396E-06
    56   0.153010E+04  -0.892616E+00   0.717729E-03  -0.892616E+00   0.149389E+00  -0.758956E-06   0.717729E-03  -0.758956E-06   0.116759E-06
    57   0.155215E+04  -0.114276E+01   0.703560E-03  -0.114276E+01   0.157865E+00  -0.740318E-06   0.703560E-03  -0.740318E-06   0.116115E-06
    58   0.157448E+04  -0.140406E+01   0.689869E-03  -0.140406E+01   0.166483E+00  -0.680170E-06   0.689869E-03  -0.680170E-06   0.115464E-06
    59   0.159699E+04  -0.167817E+01   0.676761E-03  -0.167817E+01   0.175278E+00  -0.600322E-06   0.676761E-03  -0.600322E-06   0.114805E-06
    60   0.161969E+04  -0.196530E+01   0.664340E-03  -0.196530E+01   0.184297E+00  -0.522583E-06   0.664340E-03  -0.522583E-06   0.114140E-06
    61   0.164289E+04  -0.226529E+01   0.652663E-03  -0.226529E+01   0.193633E+00  -0.464271E-06   0.652663E-03  -0.464271E-06   0.113469E-06
    62   0.166600E+04  -0.257887E+01   0.641610E-03  -0.257887E+01   0.203275E+00  -0.424728E-06   0.641610E-03  -0.424728E-06   0.112793E-06
    63   0.168922E+04  -0.290658E+01   0.631014E-03  -0.290658E+01   0.213188E+00  -0.398802E-06   0.631014E-03  -0.398802E-06   0.112113E-06
    64   0.171283E+04  -0.324921E+01   0.620708E-03  -0.324921E+01   0.223389E+00  -0.381343E-06   0.620708E-03  -0.381343E-06   0.111430E-06
    65   0.173646E+04  -0.360694E+01   0.610526E-03  -0.360694E+01   0.233856E+00  -0.367200E-06   0.610526E-03  -0.367200E-06   0.110744E-06
    66   0.176039E+04  -0.397758E+01   0.600336E-03  -0.397758E+01   0.244527E+00  -0.352614E-06   0.600336E-03  -0.352614E-06   0.110057E-06
    67   0.178444E+04  -0.435848E+01   0.590148E-03  -0.435848E+01   0.255402E+00  -0.339398E-06   0.590148E-03  -0.339398E-06   0.109368E-06
    68   0.180891E+04  -0.474818E+01   0.580008E-03  -0.474818E+01   0.266519E+00  -0.330759E-06   0.580008E-03  -0.330759E-06   0.108679E-06
    69   0.183355E+04  -0.514515E+01   0.569961E-03  -0.514515E+01   0.277836E+00  -0.329901E-06   0.569961E-03  -0.329901E-06   0.107990E-06
    70   0.185849E+04  -0.555127E+01   0.560053E-03  -0.555127E+01   0.289392E+00  -0.340032E-06   0.560053E-03  -0.340032E-06   0.107301E-06
    71   0.188357E+04  -0.596908E+01   0.550329E-03  -0.596908E+01   0.301175E+00  -0.363268E-06   0.550329E-03  -0.363268E-06   0.106612E-06
    72   0.190885E+04  -0.639980E+01   0.540843E-03  -0.639980E+01   0.313159E+00  -0.397379E-06   0.540843E-03  -0.397379E-06   0.105923E-06
    73   0.193428E+04  -0.684381E+01   0.531647E-03  -0.684381E+01   0.325312E+00  -0.439045E-06   0.531647E-03  -0.439045E-06   0.105235E-06
    74   0.195992E+04  -0.730001E+01   0.522793E-03  -0.730001E+01   0.337626E+00  -0.484949E-06   0.522793E-03  -0.484949E-06   0.104547E-06
    75   0.198590E+04  -0.776672E+01   0.514335E-03  -0.776672E+01   0.350114E+00  -0.531770E-06   0.514335E-03  -0.531770E-06   0.103860E-06
    76   0.201217E+04  -0.824316E+01   0.506307E-03  -0.824316E+01   0.362778E+00  -0.575976E-06   0.506307E-03  -0.575976E-06   0.103173E-06
    77   0.203877E+04  -0.872933E+01   0.498667E-03  -0.872933E+01   0.375612E+00  -0.613180E-06   0.498667E-03  -0.613180E-06   0.102487E-06
    78   0.206572E+04  -0.922688E+01   0.491354E-03  -0.922688E+01   0.388645E+00  -0.638781E-06   0.491354E-03  -0.638781E-06   0.101802E-06
    79   0.209280E+04  -0.973230E+01   0.484307E-03  -0.973230E+01   0.401823E+00  -0.648177E-06   0.484307E-03  -0.648177E-06   0.101119E-06
    80   0.212013E+04  -0.102472E+02   0.477466E-03  -0.102472E+02   0.415153E+00  -0.636768E-06   0.477466E-03  -0.636768E-06   0.100438E-06
    81   0.214758E+04  -0.107724E+02   0.470775E-03  -0.107724E+02   0.428585E+00  -0.602089E-06   0.470775E-03  -0.602089E-06   0.997583E-07
    82   0.217523E+04  -0.113068E+02   0.464210E-03  -0.113068E+02   0.442142E+00  -0.550221E-06   0.464210E-03  -0.550221E-06   0.990815E-07
    83   0.220304E+04  -0.118503E+02   0.457753E-03  -0.118503E+02   0.455798E+00  -0.489384E-06   0.457753E-03  -0.489384E-06   0.984073E-07
    84   0.223111E+04  -0.124008E+02   0.451385E-03  -0.124008E+02   0.469548E+00  -0.427795E-06   0.451385E-03  -0.427795E-06   0.977360E-07
