#    L    TT             EE             TE             PP             TP          
     2   0.113326E+04   0.548408E-01   0.340474E+01   0.995524E+06   0.317464E+05
     3   0.105361E+04   0.881449E-01   0.424095E+01   0.152897E+07   0.376004E+05
     4   0.979953E+03   0.974752E-01   0.433418E+01   0.199972E+07   0.402587E+05
     5   0.923309E+03   0.850081E-01   0.399361E+01   0.241340E+07   0.412325E+05
     6   0.882238E+03   0.617157E-01   0.345495E+01   0.277674E+07   0.412843E+05
     7   0.853664E+03   0.386368E-01   0.286424E+01   0.309731E+07   0.408264E+05
     8   0.834205E+03   0.220741E-01   0.231302E+01   0.338127E+07   0.400248E+05
     9   0.821793E+03   0.130800E-01   0.184589E+01   0.363397E+07   0.389863E+05
    10   0.814986E+03   0.950269E-02   0.148212E+01   0.385906E+07   0.378379E+05
    11   0.812203E+03   0.844024E-02   0.122805E+01   0.406101E+07   0.367038E+05
    12   0.813364E+03   0.789571E-02   0.108187E+01   0.424153E+07   0.356133E+05
    13   0.816682E+03   0.702420E-02   0.102269E+01   0.440303E+07   0.345661E+05
    14   0.821271E+03   0.603810E-02   0.102401E+01   0.454806E+07   0.335585E+05
    15   0.827419E+03   0.525347E-02   0.106288E+01   0.467827E+07   0.325792E+05
    16   0.835505E+03   0.489973E-02   0.111977E+01   0.479509E+07   0.316183E+05
    17   0.845390E+03   0.497630E-02   0.118201E+01   0.489997E+07   0.306794E+05
    18   0.856081E+03   0.523922E-02   0.124152E+01   0.499423E+07   0.297691E+05
    19   0.868430E+03   0.554934E-02   0.129491E+01   0.507853E+07   0.288907E+05
    20   0.880796E+03   0.587649E-02   0.133782E+01   0.515350E+07   0.280464E+05
    21   0.893521E+03   0.625436E-02   0.137164E+01   0.522017E+07   0.272341E+05
    22   0.906862E+03   0.680688E-02   0.139892E+01   0.527956E+07   0.264513E+05
    23   0.920605E+03   0.759575E-02   0.142600E+01   0.533217E+07   0.256943E+05
    24   0.934790E+03   0.862410E-02   0.145849E+01   0.537841E+07   0.249614E+05
    25   0.949398E+03   0.989416E-02   0.149519E+01   0.541884E+07   0.242582E+05
    26   0.964277E+03   0.113686E-01   0.153508E+01   0.545403E+07   0.235906E+05
    27   0.979634E+03   0.130169E-01   0.157731E+01   0.548444E+07   0.229580E+05
    28   0.995284E+03   0.148361E-01   0.162145E+01   0.551041E+07   0.223570E+05
    29   0.101126E+04   0.168128E-01   0.166345E+01   0.553204E+07   0.217800E+05
    30   0.102748E+04   0.189447E-01   0.169806E+01   0.554943E+07   0.212208E+05
    31   0.104384E+04   0.212459E-01   0.172532E+01   0.556309E+07   0.206830E+05
    32   0.106062E+04   0.237174E-01   0.174560E+01   0.557355E+07   0.201708E+05
    33   0.107782E+04   0.263407E-01   0.175558E+01   0.558103E+07   0.196820E+05
    34   0.109525E+04   0.291133E-01   0.175264E+01   0.558565E+07   0.192117E+05
    35   0.111287E+04   0.320678E-01   0.173771E+01   0.558763E+07   0.187519E+05
    36   0.113062E+04   0.352447E-01   0.171173E+01   0.558717E+07   0.182970E+05
    37   0.114849E+04   0.386472E-01   0.167620E+01   0.558444E+07   0.178532E+05
    38   0.116676E+04   0.422763E-01   0.163414E+01   0.557963E+07   0.174283E+05
    39   0.118543E+04   0.461311E-01   0.158530E+01   0.557284E+07   0.170238E+05
    40   0.120424E+04   0.502161E-01   0.152839E+01   0.556418E+07   0.166394E+05
    41   0.122331E+04   0.545399E-01   0.146200E+01   0.555376E+07   0.162745E+05
    42   0.124240E+04   0.591093E-01   0.138513E+01   0.554169E+07   0.159265E+05
    43   0.126166E+04   0.639301E-01   0.129690E+01   0.552810E+07   0.155924E+05
    44   0.128092E+04   0.689933E-01   0.119730E+01   0.551309E+07   0.152689E+05
    45   0.130055E+04   0.743004E-01   0.108641E+01   0.549679E+07   0.149532E+05
    46   0.132047E+04   0.798544E-01   0.962437E+00   0.547930E+07   0.146427E+05
    47   0.134054E+04   0.856521E-01   0.826068E+00   0.546072E+07   0.143381E+05
    48   0.136071E+04   0.916953E-01   0.681241E+00   0.544113E+07   0.140403E+05
    49   0.138105E+04   0.979638E-01   0.531306E+00   0.542059E+07   0.137507E+05
    50   0.140181E+04   0.104430E+00   0.372831E+00   0.539919E+07   0.134703E+05
    51   0.142277E+04   0.111064E+00   0.201092E+00   0.537700E+07   0.131999E+05
    52   0.144415E+04   0.117953E+00   0.118301E-01   0.535408E+07   0.129388E+05
    53   0.146554E+04   0.125252E+00  -0.197245E+00   0.533047E+07   0.126855E+05
    54   0.148685E+04   0.132957E+00  -0.420457E+00   0.530623E+07   0.124388E+05
    55   0.150829E+04   0.141049E+00  -0.652013E+00   0.528141E+07   0.121975E+05
    56   0.153006E+04   0.149389E+00  -0.892634E+00   0.525604E+07   0.119608E+05
    57   0.155210E+04   0.157865E+00  -0.114278E+01   0.523018E+07   0.117299E+05
    58   0.157443E+04   0.166483E+00  -0.140408E+01   0.520383E+07   0.115066E+05
    59   0.159694E+04   0.175278E+00  -0.167819E+01   0.517704E+07   0.112927E+05
    60   0.161963E+04   0.184297E+00  -0.196532E+01   0.514983E+07   0.110899E+05
    61   0.164283E+04   0.193633E+00  -0.226532E+01   0.512223E+07   0.108992E+05
    62   0.166594E+04   0.203275E+00  -0.257889E+01   0.509428E+07   0.107187E+05
    63   0.168915E+04   0.213188E+00  -0.290661E+01   0.506603E+07   0.105455E+05
    64   0.171277E+04   0.223389E+00  -0.324924E+01   0.503753E+07   0.103769E+05
    65   0.173639E+04   0.233856E+00  -0.360697E+01   0.500881E+07   0.102102E+05
    66   0.176032E+04   0.244527E+00  -0.397761E+01   0.497993E+07   0.100431E+05
    67   0.178437E+04   0.255402E+00  -0.435851E+01   0.495091E+07   0.987582E+04
    68   0.180883E+04   0.266519E+00  -0.474821E+01   0.492176E+07   0.970915E+04
    69   0.183347E+04   0.277836E+00  -0.514519E+01   0.489251E+07   0.954384E+04
    70   0.185840E+04   0.289392E+00  -0.555131E+01   0.486318E+07   0.938067E+04
    71   0.188349E+04   0.301175E+00  -0.596912E+01   0.483378E+07   0.922042E+04
    72   0.190875E+04   0.313159E+00  -0.639984E+01   0.480433E+07   0.906398E+04
    73   0.193418E+04   0.325312E+00  -0.684385E+01   0.477483E+07   0.891224E+04
    74   0.195982E+04   0.337626E+00  -0.730006E+01   0.474527E+07   0.876610E+04
    75   0.198580E+04   0.350114E+00  -0.776676E+01   0.471567E+07   0.862647E+04
    76   0.201206E+04   0.362778E+00  -0.824320E+01   0.468603E+07   0.849393E+04
    77   0.203866E+04   0.375612E+00  -0.872937E+01   0.465636E+07   0.836778E+04
    78   0.206560E+04   0.388645E+00  -0.922693E+01   0.462669E+07   0.824701E+04
    79   0.209268E+04   0.401823E+00  -0.973234E+01   0.459702E+07   0.813059E+04
    80   0.212001E+04   0.415153E+00  -0.102473E+02   0.456739E+07   0.801752E+04
    81   0.214745E+04   0.428585E+00  -0.107724E+02   0.453780E+07   0.790691E+04
    82   0.217510E+04   0.442142E+00  -0.113069E+02   0.450827E+07   0.779831E+04
    83   0.220290E+04   0.455798E+00  -0.118503E+02   0.447881E+07   0.769143E+04
    84   0.223097E+04   0.469548E+00  -0.124008E+02   0.444944E+07   0.758597E+04
    85   0.225917E+04   0.483368E+00  -0.129596E+02   0.442015E+07   0.748161E+04
    86   0.228761E+04   0.497268E+00  -0.135255E+02   0.439098E+07   0.737815E+04
